#{"t_start": 1693411552.0162005, "env_id": "GridDroneEnv-v0"}
r,l,t
0.12,38,0.0231
0.12,38,0.040609
0.13,38,0.057869
0.0,38,0.078763
0.05,38,0.098372
0.03,38,0.115946
0.03,38,0.133343
0.04,38,0.150692
0.02,38,0.167903
0.04,38,0.185657
0.05,38,0.202431
0.04,38,0.219125
0.2,38,0.235877
0.09,38,0.25698
0.07,38,0.274027
0.14,38,0.291185
0.23,38,0.30798
0.03,38,0.324889
0.03,38,0.341435
0.13,38,0.358294
0.04,38,0.375209
0.12,38,0.393077
0.03,38,0.409771
0.11,38,0.426773
0.01,38,0.443496
0.0,38,0.460101
0.08,38,0.497936
0.02,38,0.514926
0.08,38,0.532038
0.04,38,0.548553
0.02,38,0.565495
0.03,38,0.582756
0.23,38,0.600336
0.19,38,0.617504
0.22,38,0.634631
0.25,38,0.651544
0.11,38,0.668813
0.14,38,0.685493
0.38,38,0.70257
0.17,38,0.719397
0.24,38,0.737212
0.09,38,0.754737
0.03,38,0.772167
0.04,38,0.789227
0.12,38,0.806029
0.1,38,0.8232
0.13,38,0.840438
0.15,38,0.858248
0.15,38,0.87558
0.1,38,0.893099
0.1,38,0.910578
0.26,38,0.927425
0.07,38,0.951287
0.14,38,1.56504
0.02,38,1.58877
0.02,38,1.607716
0.12,38,1.635085
0.12,38,1.659859
0.0,38,1.679502
0.08,38,1.699252
0.23,38,1.721119
0.23,38,1.741836
0.06,38,1.760978
0.1,38,1.779747
0.02,38,1.798858
0.24,38,1.820018
0.06,38,1.838785
0.01,38,1.857237
0.01,38,1.876481
0.1,38,1.894765
0.14,38,1.912389
0.12,38,1.939421
0.04,38,1.963144
0.09,38,1.982051
0.11,38,2.005949
0.03,38,2.024883
0.09,38,2.045959
0.06,38,2.064758
0.0,38,2.088388
0.1,38,2.107387
0.21,38,2.126985
0.01,38,2.147391
0.13,38,2.169998
0.04,38,2.186993
0.15,38,2.204294
0.07,38,2.221346
0.2,38,2.239661
0.01,38,2.256994
0.17,38,2.274225
0.13,38,2.291115
0.13,38,2.30834
0.27,38,2.325683
0.09,38,2.34266
0.15,38,2.359435
0.04,38,2.376325
0.02,38,2.395367
0.13,38,2.41978
0.29,38,2.450886
0.01,38,2.47205
0.27,38,2.491193
0.06,38,2.510803
0.03,38,2.529893
0.15,38,2.54869
0.13,38,2.567727
0.22,38,2.587191
0.04,38,2.615858
0.01,38,2.63447
0.02,38,3.298088
0.12,38,3.317551
0.04,38,3.33776
0.14,38,3.355346
0.18,38,3.375119
0.05,38,3.394189
0.11,38,3.412062
0.02,38,3.430603
0.19,38,3.448582
0.06,38,3.466201
0.03,38,3.484146
0.06,38,3.502327
0.14,38,3.520289
