#{"t_start": 1693261506.6094625, "env_id": "GridRoadEnv-v0"}
r,l,t
0.56,33,0.01769
1.81,33,0.032709
0.46,33,0.045827
1.19,33,0.060895
0.98,33,0.074458
0.47,33,0.087018
0.53,33,0.100245
1.16,33,0.113788
0.47,33,0.127237
0.57,33,0.140543
0.45,33,0.153803
0.48,33,0.167096
0.55,33,0.18155
1.12,33,0.197178
0.5,33,0.212924
0.52,33,0.226177
1.09,33,0.238566
0.46,33,0.252032
0.5,33,0.265369
1.18,33,0.278519
0.35,33,0.29068
1.24,33,0.30364
0.35,33,0.318489
0.45,33,0.331802
1.16,33,0.345061
0.3,33,0.357746
0.5,33,0.370705
0.52,33,0.38619
0.45,33,0.401553
1.75,33,0.414951
1.11,33,0.451157
0.45,33,0.472528
0.45,33,0.493392
0.5,33,0.509778
0.46,33,0.523915
0.47,33,0.539915
0.54,33,0.555122
1.17,33,0.570732
0.42,33,0.584268
1.06,33,0.600745
0.53,33,0.616522
1.13,33,0.632215
1.76,33,0.646983
0.5,33,0.662551
0.49,33,0.680547
1.13,33,0.696433
0.43,33,0.711822
0.54,33,0.729941
0.54,33,0.746012
0.54,33,0.763722
0.37,33,0.778687
0.52,33,0.796192
0.52,33,0.813748
0.49,33,0.830918
1.14,33,0.848508
0.39,33,0.866738
0.38,33,0.882615
1.2,33,0.898661
0.53,33,0.912926
0.58,33,0.927992
1.16,33,0.948774
0.54,33,0.964965
1.24,33,1.687499
0.5,33,1.702859
1.1,33,1.715835
0.48,33,1.728352
1.1,33,1.741513
1.08,33,1.754368
1.11,33,1.768162
0.31,33,1.78225
0.52,33,1.795463
1.07,33,1.808225
0.43,33,1.820762
0.41,33,1.834117
0.51,33,1.848992
0.46,33,1.86203
1.09,33,1.875131
0.37,33,1.890226
0.46,33,1.903209
1.07,33,1.917312
0.56,33,1.931993
0.45,33,1.945017
0.44,33,1.957766
1.82,33,1.9705
0.4,33,1.983519
0.42,33,1.996799
0.56,33,2.010312
0.47,33,2.02441
0.53,33,2.037355
1.08,33,2.050864
0.43,33,2.067121
0.44,33,2.080539
0.43,33,2.09294
1.14,33,2.105827
0.41,33,2.120234
1.78,33,2.134749
0.92,33,2.147683
0.52,33,2.160132
1.12,33,2.173112
1.1,33,2.186076
0.44,33,2.200452
0.54,33,2.21392
0.6,33,2.225999
0.4,33,2.238811
0.53,33,2.251981
1.08,33,2.266842
1.01,33,2.2813
1.16,33,2.294769
1.14,33,2.30778
0.48,33,2.32054
1.08,33,2.333766
1.15,33,2.34806
1.03,33,2.361763
1.16,33,2.376042
1.75,33,2.38927
1.11,33,2.403969
0.47,33,2.417248
0.59,33,2.429953
0.52,33,2.443464
0.48,33,2.463191
0.57,33,2.488735
1.07,33,2.510382
1.09,33,2.522922
0.52,33,2.535984
0.4,33,3.112121
1.07,33,3.125699
0.44,33,3.13853
0.46,33,3.152839
0.47,33,3.166014
1.14,33,3.178712
0.51,33,3.192611
1.1,33,3.205803
1.1,33,3.219271
1.15,33,3.232699
0.5,33,3.248453
0.4,33,3.261494
0.47,33,3.27486
0.54,33,3.287175
0.49,33,3.300933
1.06,33,3.313629
0.47,33,3.327467
1.09,33,3.341837
1.07,33,3.355864
1.19,33,3.369227
1.01,33,3.383039
1.79,33,3.396948
1.19,33,3.410463
1.67,33,3.423541
1.16,33,3.436755
1.13,33,3.449794
1.18,33,3.473795
0.4,33,3.501674
0.43,33,3.515186
1.0,33,3.529429
0.5,33,3.543787
1.13,33,3.556464
1.15,33,3.568449
1.07,33,3.582202
0.36,33,3.595892
0.57,33,3.608814
0.48,33,3.621688
1.78,33,3.635111
0.42,33,3.648426
0.5,33,3.661986
0.57,33,3.675185
0.47,33,3.688388
1.12,33,3.702327
0.52,33,3.716442
1.13,33,3.730329
1.04,33,3.743601
1.2,33,3.756402
0.46,33,3.76945
1.04,33,3.783197
1.81,33,3.796457
0.45,33,3.809818
0.54,33,3.822213
1.03,33,3.836707
1.09,33,3.849729
1.16,33,3.862991
1.11,33,3.875661
1.15,33,3.888116
0.44,33,3.908325
1.11,33,3.921358
1.21,33,3.93481
0.46,33,3.947703
1.0,33,3.960887
0.52,33,4.561637
1.75,33,4.577034
0.43,33,4.589077
0.46,33,4.602558
0.51,33,4.615938
0.58,33,4.629545
1.06,33,4.642624
1.12,33,4.656912
1.16,33,4.670986
1.83,33,4.684784
0.5,33,4.698236
1.0,33,4.711171
1.11,33,4.724602
0.49,33,4.737789
1.2,33,4.752252
0.54,33,4.765654
1.0,33,4.778919
1.14,33,4.791184
1.12,33,4.805253
0.56,33,4.824749
1.1,33,4.848199
0.97,33,4.866379
0.48,33,4.884929
1.04,33,4.905523
0.46,33,4.925456
0.49,33,4.945385
0.43,33,4.970858
1.76,33,4.986163
1.07,33,5.002538
0.44,33,5.019154
1.12,33,5.035466
0.47,33,5.052762
1.22,33,5.067674
1.12,33,5.081126
1.22,33,5.094201
1.07,33,5.108068
0.49,33,5.125459
0.57,33,5.141607
0.39,33,5.159641
4.22,31,5.173157
0.53,33,5.187259
1.82,33,5.200258
0.54,33,5.215257
1.17,33,5.228922
0.48,33,5.246256
1.08,33,5.261969
0.42,33,5.276844
1.16,33,5.289936
0.53,33,5.301876
1.15,33,5.316224
1.05,33,5.331418
0.43,33,5.345232
1.14,33,5.35944
1.76,33,5.376863
1.79,33,5.392273
1.18,33,5.407828
0.55,33,5.428857
1.14,33,5.441025
0.48,33,5.456459
1.07,33,5.470289
1.78,33,5.486249
1.03,33,5.500208
1.08,33,6.138461
1.06,33,6.153034
1.72,33,6.166641
1.19,33,6.181862
0.49,33,6.196563
1.15,33,6.212863
0.51,33,6.231157
0.53,33,6.245583
1.81,33,6.259228
1.11,33,6.274522
0.54,33,6.288305
0.97,33,6.303194
1.09,33,6.316726
1.18,33,6.331048
1.1,33,6.346025
1.01,33,6.359363
0.42,33,6.374035
1.19,33,6.388205
0.56,33,6.403176
1.06,33,6.416809
1.13,33,6.430943
1.12,33,6.445757
1.68,33,6.459906
0.53,33,6.475238
1.14,33,6.499805
1.2,33,6.513813
0.63,33,6.528238
1.11,33,6.543594
1.21,33,6.557116
1.1,33,6.571607
1.18,33,6.58616
1.08,33,6.599731
1.2,33,6.613585
0.98,33,6.627632
1.14,33,6.641982
1.0,33,6.655469
1.72,33,6.670466
1.19,33,6.685316
0.52,33,6.698581
1.09,33,6.712036
1.08,33,6.725782
1.07,33,6.740874
1.15,33,6.754166
1.06,33,6.768227
0.5,33,6.781441
1.88,33,6.794145
1.78,33,6.807772
1.13,33,6.822462
0.56,33,6.836609
1.13,33,6.850533
1.02,33,6.864379
1.13,33,6.879369
1.16,33,6.896725
1.14,33,6.914386
1.16,33,6.932383
0.42,33,6.960501
1.19,33,6.979607
0.53,33,6.997344
1.12,33,7.011944
1.08,33,7.026293
1.09,33,7.041556
0.57,33,7.056225
1.19,33,7.676387
1.1,33,7.690163
1.7,33,7.7042
1.1,33,7.718508
0.53,33,7.7316
1.15,33,7.744423
1.09,33,7.758287
1.03,33,7.772829
1.17,33,7.786988
1.12,33,7.801592
1.78,33,7.814657
1.84,33,7.827219
1.12,33,7.840037
1.24,33,7.853576
1.22,33,7.868485
1.23,33,7.883769
1.15,33,7.896182
0.48,33,7.909923
1.17,33,7.923051
0.45,33,7.936767
1.08,33,7.950083
1.15,33,7.962275
