#{"t_start": 1693260931.7601426, "env_id": "GridRoadEnv-v0"}
r,l,t
1.08,33,0.017485
0.39,33,0.031248
1.12,33,0.045182
1.05,33,0.05822
0.47,33,0.071624
0.47,33,0.084743
1.16,33,0.09761
0.57,33,0.11007
0.51,33,0.123092
1.12,33,0.136541
1.11,33,0.151315
0.5,33,0.165153
0.52,33,0.179871
1.1,33,0.193316
0.46,33,0.207228
0.53,33,0.222059
0.57,33,0.237275
1.2,33,0.251684
0.53,33,0.265101
0.42,33,0.277763
1.11,33,0.290661
0.59,33,0.303875
1.18,33,0.316624
1.15,33,0.329587
0.99,33,0.34137
0.4,33,0.35459
1.14,33,0.367657
1.05,33,0.38122
0.37,33,0.394325
0.36,33,0.406924
0.56,33,0.44362
0.44,33,0.456344
1.02,33,0.468903
0.48,33,0.482726
0.99,33,0.495466
0.51,33,0.508397
1.08,33,0.520708
1.05,33,0.53438
1.09,33,0.547017
1.01,33,0.559972
1.18,33,0.572174
1.13,33,0.585014
0.39,33,0.601535
0.39,33,0.629797
1.25,33,0.642742
0.46,33,0.654997
1.14,33,0.668155
0.44,33,0.680814
1.09,33,0.693717
1.1,33,0.707085
0.5,33,0.71943
1.24,33,0.732485
0.53,33,0.745935
0.99,33,0.759245
0.55,33,0.772822
0.45,33,0.785393
0.45,33,0.798308
0.57,33,0.811932
0.59,33,0.825355
1.13,33,0.838885
0.46,33,0.859348
0.39,33,0.872573
0.49,33,1.431034
1.14,33,1.445562
0.49,33,1.457842
1.09,33,1.471631
0.37,33,1.485455
1.05,33,1.498438
1.14,33,1.510796
1.07,33,1.524324
0.42,33,1.537216
0.56,33,1.549094
1.22,33,1.562264
0.53,33,1.575124
1.1,33,1.58854
0.54,33,1.603362
0.53,33,1.630769
1.08,33,1.643925
1.11,33,1.659108
1.15,33,1.673404
1.14,33,1.689347
0.48,33,1.702583
0.54,33,1.714638
1.24,33,1.728692
0.49,33,1.741769
0.49,33,1.754984
1.05,33,1.768684
0.53,33,1.781379
1.18,33,1.796345
0.45,33,1.810409
0.53,33,1.830649
0.61,33,1.84383
0.56,33,1.857221
0.61,33,1.870969
0.51,33,1.883785
0.58,33,1.896552
0.57,33,1.909874
1.05,33,1.923008
0.43,33,1.936462
1.08,33,1.949136
1.14,33,1.962885
0.55,33,1.97737
0.57,33,1.990733
0.94,33,2.004638
0.55,33,2.017609
1.09,33,2.030668
1.07,33,2.044208
0.35,33,2.057375
1.12,33,2.070338
1.06,33,2.08196
0.51,33,2.09515
0.55,33,2.108355
1.16,33,2.121389
0.46,33,2.134351
1.15,33,2.147233
1.2,33,2.160555
0.4,33,2.174304
1.0,33,2.186975
0.39,33,2.199161
0.46,33,2.212845
0.45,33,2.226482
1.12,33,2.243108
1.08,33,2.256229
0.41,33,2.269595
1.77,33,2.846577
0.48,33,2.860314
0.49,33,2.873584
1.05,33,2.886066
1.71,33,2.899255
1.07,33,2.91234
0.46,33,2.924995
0.99,33,2.937806
0.53,33,2.951298
1.16,33,2.963423
1.09,33,2.977728
1.03,33,2.990413
1.72,33,3.002881
1.76,33,3.016608
1.77,33,3.029869
0.56,33,3.041781
1.22,33,3.055237
1.01,33,3.068498
1.17,33,3.0804
0.46,33,3.093552
1.19,33,3.106914
1.0,33,3.119145
0.43,33,3.131477
0.45,33,3.144336
0.5,33,3.158214
1.16,33,3.170576
1.13,33,3.183374
0.5,33,3.203349
1.06,33,3.216927
1.12,33,3.230193
1.13,33,3.243524
0.95,33,3.2555
1.18,33,3.268772
0.47,33,3.281617
1.14,33,3.294701
0.52,33,3.306737
1.02,33,3.319498
1.22,33,3.333057
0.59,33,3.346319
0.53,33,3.359763
1.13,33,3.372137
0.49,33,3.385011
1.11,33,3.398867
0.55,33,3.412349
1.78,33,3.424637
0.56,33,3.437447
1.07,33,3.450526
1.14,33,3.463706
0.56,33,3.476686
1.07,33,3.488874
1.15,33,3.502619
0.53,33,3.51565
1.09,33,3.528652
1.8,33,3.540537
1.16,33,3.553414
1.03,33,3.567094
0.43,33,3.580216
1.0,33,3.602407
0.57,33,3.623587
1.02,33,3.644184
1.1,33,3.656858
1.06,33,3.670219
0.52,33,4.233861
1.19,33,4.24719
1.13,33,4.259708
1.2,33,4.272498
0.52,33,4.285256
1.06,33,4.298013
1.0,33,4.311198
1.16,33,4.325164
4.26,27,4.335669
1.09,33,4.347696
1.11,33,4.360547
1.09,33,4.37233
0.57,33,4.385501
1.68,33,4.398433
1.16,33,4.410303
1.18,33,4.423585
0.52,33,4.436699
1.1,33,4.449344
1.21,33,4.461326
0.6,33,4.474913
1.22,33,4.488084
1.08,33,4.500279
1.18,33,4.513709
1.07,33,4.526109
1.13,33,4.539505
1.2,33,4.552786
1.19,33,4.573191
1.17,33,4.586231
1.25,33,4.598761
1.06,33,4.631361
1.8,33,4.644721
1.03,33,4.656892
1.02,33,4.669327
1.77,33,4.682602
1.15,33,4.695426
0.53,33,4.708041
1.01,33,4.720314
1.16,33,4.733808
0.57,33,4.746682
1.19,33,4.760265
0.52,33,4.772032
1.11,33,4.785022
1.8,33,4.798086
0.45,33,4.811364
0.56,33,4.823478
1.16,33,4.836874
0.5,33,4.850256
1.15,33,4.863327
1.16,33,4.876326
1.17,33,4.888182
1.1,33,4.912796
1.18,33,4.930249
1.15,33,4.947889
1.16,33,4.963671
1.16,33,4.978634
1.02,33,4.991317
0.52,33,5.012149
1.19,33,5.024396
0.49,33,5.037187
1.18,33,5.05075
1.18,33,5.063719
1.19,33,5.077283
0.5,33,5.653127
1.73,33,5.665902
1.16,33,5.679474
1.25,33,5.692108
1.15,33,5.704199
1.06,33,5.717348
1.22,33,5.731084
0.53,33,5.744284
1.17,33,5.757411
1.07,33,5.769967
1.06,33,5.782628
1.18,33,5.795472
1.72,33,5.80843
1.74,33,5.820262
1.2,33,5.832927
1.16,33,5.845805
1.05,33,5.858965
1.18,33,5.870974
0.49,33,5.883781
1.15,33,5.896516
1.17,33,5.90946
1.77,33,5.921912
1.15,33,5.934712
1.11,33,5.9476
1.72,33,5.966925
1.15,33,5.98088
0.51,33,5.994177
1.12,33,6.006885
1.74,33,6.018891
1.83,33,6.03214
1.82,33,6.045037
1.17,33,6.057649
1.06,33,6.070077
1.07,33,6.082665
1.83,33,6.095948
1.86,33,6.109324
1.82,33,6.121274
1.13,33,6.134067
1.2,33,6.147181
1.21,33,6.160019
1.16,33,6.171937
1.11,33,6.184645
1.12,33,6.197549
1.18,33,6.210563
1.86,33,6.222822
1.14,33,6.236501
1.16,33,6.249617
1.16,33,6.262539
1.76,33,6.276103
1.02,33,6.288064
1.12,33,6.301421
1.84,33,6.31488
1.17,33,6.328132
1.1,33,6.341067
0.45,33,6.353686
1.8,33,6.374523
1.15,33,6.387228
1.18,33,6.400505
0.44,33,6.413364
1.13,33,6.426443
1.78,33,6.438254
1.79,33,6.451133
1.83,33,7.028384
0.97,33,7.042485
1.09,33,7.054654
1.0,33,7.068227
0.49,33,7.081053
1.09,33,7.094779
1.14,33,7.107129
1.23,33,7.12026
1.15,33,7.133325
1.2,33,7.146535
1.19,33,7.15902
1.07,33,7.171288
1.15,33,7.184656
1.21,33,7.197612
1.13,33,7.210577
1.77,33,7.222518
1.83,33,7.235725
1.76,33,7.249154
1.14,33,7.262263
1.2,33,7.274365
1.77,33,7.287507
1.1,33,7.30101
4.15,19,7.309424
1.15,33,7.329728
1.07,33,7.343213
1.71,33,7.355235
1.18,33,7.368876
1.17,33,7.381437
1.84,33,7.394618
1.18,33,7.406867
4.08,17,7.414611
1.78,33,7.427117
0.55,33,7.43962
1.03,33,7.452439
1.75,33,7.465129
1.17,33,7.478835
1.79,33,7.4912
1.18,33,7.503546
1.24,33,7.516895
1.81,33,7.530263
1.81,33,7.543723
1.13,33,7.555689
1.07,33,7.568707
1.2,33,7.582239
1.14,33,7.595448
0.48,33,7.611468
1.69,33,7.63714
1.17,33,7.650702
1.62,33,7.662521
1.15,33,7.675813
1.06,33,7.689361
1.76,33,7.703209
1.24,33,7.716014
1.19,33,7.729795
1.13,33,7.750267
1.17,33,7.762923
1.09,33,7.775968
1.11,33,7.78892
1.1,33,7.802371
1.89,33,7.814272
1.7,33,7.827271
1.01,33,7.840303
1.13,33,7.853691
1.16,33,8.408708
1.05,33,8.422695
1.76,33,8.435883
1.05,33,8.447813
1.09,33,8.460807
1.14,33,8.475097
1.81,33,8.487747
1.72,33,8.500699
1.21,33,8.51368
1.86,33,8.526868
