#{"t_start": 1693329869.273611, "env_id": "GridRoadEnv-v0"}
r,l,t
0.29,80,0.036158
0.34,80,0.072821
0.33,80,0.108178
0.99,80,0.14426
0.47,80,0.181282
0.25,80,0.217664
0.2,80,0.251858
0.39,80,0.286811
0.24,80,0.322584
0.31,80,0.357658
0.28,80,0.392304
0.31,80,0.4381
0.18,80,0.521282
0.24,80,0.55761
0.34,80,0.596407
1.0,80,0.634469
0.31,80,0.669831
0.28,80,0.704374
0.95,80,0.742416
0.39,80,0.783108
0.27,80,0.820843
0.39,80,0.857899
0.23,80,0.89429
0.28,80,0.93306
0.28,80,0.97058
0.25,80,1.70101
0.36,80,1.735584
0.2,80,1.77057
0.37,80,1.807118
0.32,80,1.843246
0.38,80,1.880592
0.95,80,1.919556
0.38,80,1.955581
0.95,80,1.989974
0.99,80,2.027262
0.31,80,2.06557
1.01,80,2.102969
0.41,80,2.146144
0.35,80,2.185478
0.45,80,2.223087
0.29,80,2.259349
0.29,80,2.295034
0.97,80,2.334754
0.43,80,2.372512
0.98,80,2.40799
0.31,80,2.44325
0.33,80,2.480778
0.99,80,2.516932
0.89,80,2.554629
0.23,80,2.592264
0.35,80,2.636734
0.33,80,3.360538
0.39,80,3.403231
0.96,80,3.441425
0.42,80,3.481259
0.33,80,3.51905
1.02,80,3.554433
0.36,80,3.593142
0.37,80,3.628978
0.95,80,3.667137
0.34,80,3.703856
0.34,80,3.740064
0.37,80,3.786991
0.93,80,3.822553
0.32,80,3.856751
0.32,80,3.891514
1.03,80,3.926821
0.41,80,3.964818
1.0,80,4.001643
0.99,80,4.038359
0.35,80,4.073319
1.04,80,4.109162
1.1,80,4.14868
0.9,80,4.184913
1.04,80,4.221785
0.98,80,4.266874
1.07,80,4.989588
0.94,80,5.028632
1.01,80,5.065635
1.0,80,5.10154
0.97,80,5.137496
0.93,80,5.172727
0.94,80,5.207808
0.96,80,5.243175
0.35,80,5.277611
1.1,80,5.316201
0.91,80,5.353113
0.98,80,5.395441
1.02,80,5.433903
1.06,80,5.472745
0.24,80,5.50807
1.02,80,5.544291
1.0,80,5.580192
0.32,80,5.619672
0.38,80,5.656045
0.96,80,5.692503
1.0,80,5.727654
0.96,80,5.767845
0.96,80,5.807728
1.06,80,5.847906
0.45,80,5.89778
0.3,80,5.936809
0.95,80,6.653785
1.02,80,6.692814
1.1,80,6.733433
1.06,80,6.77083
0.96,80,6.805588
0.94,80,6.840378
0.9,80,6.874516
1.03,80,6.912275
0.95,80,6.949606
1.0,80,6.988388
0.96,80,7.037298
0.99,80,7.071957
1.02,80,7.110131
0.99,80,7.147629
0.95,80,7.186229
0.93,80,7.22272
0.92,80,7.259088
0.94,80,7.298866
1.0,80,7.336704
0.98,80,7.370947
1.06,80,7.405339
1.01,80,7.440402
1.03,80,7.476176
0.97,80,7.520948
1.0,80,7.558753
0.91,80,7.595077
1.03,80,8.314301
0.91,80,8.348245
0.95,80,8.38446
0.99,80,8.418973
1.01,80,8.452242
0.98,80,8.487513
1.0,80,8.523274
0.36,80,8.560445
0.96,80,8.596296
0.99,80,8.640937
1.03,80,8.680143
1.0,80,8.715215
0.99,80,8.750374
0.96,80,8.785517
1.04,80,8.821668
0.96,80,8.855206
0.96,80,8.889576
1.61,80,8.92508
1.07,80,8.958765
0.96,80,8.992402
1.03,80,9.028325
0.94,80,9.062011
1.04,80,9.104359
0.94,80,9.140749
1.03,80,9.175628
0.95,80,9.884997
1.01,80,9.922235
0.96,80,9.956424
1.05,80,9.993841
0.9,80,10.031946
0.97,80,10.066995
1.03,80,10.101854
0.95,80,10.135268
0.98,80,10.172916
0.9,80,10.221484
1.04,80,10.257363
1.01,80,10.29495
0.98,80,10.332073
1.07,80,10.367739
1.05,80,10.404752
1.13,80,10.441523
1.07,80,10.477156
0.96,80,10.514176
1.02,80,10.550027
0.96,80,10.587072
0.99,80,10.623057
1.04,80,10.658849
0.99,80,10.705295
0.98,80,10.740283
1.06,80,10.776698
0.98,80,10.814312
0.91,80,11.539534
0.92,80,11.575138
0.94,80,11.610119
0.91,80,11.646825
0.97,80,11.681797
1.06,80,11.715215
0.97,80,11.751371
