#{"t_start": 1693262649.6693537, "env_id": "GridRoadEnv-v0"}
r,l,t
0.63,33,0.017811
0.5,33,0.032267
1.13,33,0.048271
0.39,33,0.065897
1.09,33,0.083874
0.49,33,0.101328
1.06,33,0.116831
0.44,33,0.132483
0.29,33,0.14919
0.39,33,0.165666
1.22,33,0.180835
1.13,33,0.19601
1.03,33,0.210748
0.39,33,0.226122
0.54,33,0.24146
0.44,33,0.256863
0.53,33,0.272142
0.34,33,0.287421
1.75,33,0.303157
1.2,33,0.319329
0.45,33,0.334749
0.45,33,0.349163
0.34,33,0.36349
0.56,33,0.377939
0.46,33,0.392224
0.48,33,0.406451
1.05,33,0.420641
1.05,33,0.433933
1.79,33,0.448625
1.04,33,0.462163
0.59,33,0.500465
1.13,33,0.514585
0.42,33,0.529654
0.53,33,0.54426
0.39,33,0.559134
0.47,33,0.574261
1.04,33,0.589194
1.05,33,0.603538
0.52,33,0.618106
0.5,33,0.631582
0.39,33,0.645794
1.14,33,0.659852
1.08,33,0.67459
0.53,33,0.688695
0.55,33,0.703579
0.4,33,0.717546
0.53,33,0.730646
0.48,33,0.744382
0.49,33,0.759243
1.15,33,0.77491
1.03,33,0.795129
0.47,33,0.826491
0.44,33,0.846639
1.14,33,0.861917
0.99,33,0.876774
0.47,33,0.89176
0.37,33,0.907018
1.22,33,0.922126
0.47,33,0.936295
1.82,33,0.951092
0.46,33,0.970615
0.52,33,0.986254
1.78,33,1.586422
0.43,33,1.601009
1.16,33,1.61553
0.38,33,1.629962
0.5,33,1.644542
1.19,33,1.659343
1.14,33,1.673979
0.44,33,1.688038
0.53,33,1.702563
1.18,33,1.716559
1.01,33,1.730448
1.14,33,1.744901
0.55,33,1.759538
1.11,33,1.775128
0.44,33,1.80933
0.47,33,1.826388
1.0,33,1.841621
1.07,33,1.856575
1.1,33,1.871173
1.17,33,1.886622
0.49,33,1.901414
1.1,33,1.916649
0.45,33,1.931746
1.19,33,1.947029
0.55,33,1.962124
1.76,33,1.976966
0.44,33,1.99222
0.42,33,2.006759
0.61,33,2.029408
0.94,33,2.044257
1.16,33,2.059069
1.17,33,2.074493
0.4,33,2.089883
0.58,33,2.103373
1.05,33,2.120076
0.53,33,2.133499
1.72,33,2.148683
0.49,33,2.163788
0.59,33,2.178844
0.5,33,2.193438
1.13,33,2.207714
0.49,33,2.221871
1.08,33,2.237043
0.55,33,2.252011
1.15,33,2.267287
0.55,33,2.282184
0.54,33,2.297278
0.52,33,2.312584
0.57,33,2.328701
1.12,33,2.344312
0.51,33,2.3581
1.1,33,2.37287
4.15,19,2.382237
1.13,33,2.39696
1.09,33,2.412218
1.08,33,2.426331
1.08,33,2.439934
1.19,33,2.454264
0.5,33,2.468605
0.43,33,2.490396
1.05,33,2.504762
1.17,33,2.519302
0.44,33,3.171893
1.15,33,3.183937
1.03,33,3.19831
0.53,33,3.214311
1.15,33,3.229265
0.53,33,3.243857
1.12,33,3.259335
1.17,33,3.273968
1.13,33,3.289105
0.4,33,3.303557
0.93,33,3.318125
1.76,33,3.332684
1.84,33,3.347142
1.22,33,3.362189
1.08,33,3.376831
1.78,33,3.390998
1.09,33,3.405932
0.41,33,3.420714
1.73,33,3.435554
0.55,33,3.450759
0.57,33,3.466401
1.15,33,3.484041
1.13,33,3.497333
1.09,33,3.511405
0.46,33,3.526023
1.15,33,3.541081
1.05,33,3.556386
1.74,33,3.578513
1.19,33,3.593599
1.79,33,3.608652
1.06,33,3.623718
0.27,33,3.638934
1.08,33,3.653971
0.54,33,3.668859
1.16,33,3.682135
1.09,33,3.697051
1.16,33,3.712541
1.09,33,3.727786
1.16,33,3.742576
1.2,33,3.757463
0.5,33,3.773783
1.02,33,3.808128
1.01,33,3.827979
1.11,33,3.841325
1.14,33,3.856101
1.11,33,3.871518
1.82,33,3.886498
1.02,33,3.90137
1.07,33,3.916227
0.59,33,3.931236
1.22,33,3.946449
1.15,33,3.96177
0.58,33,3.97622
0.48,33,3.990657
0.48,33,4.005117
0.45,33,4.020525
1.79,33,4.03551
1.06,33,4.051082
1.09,33,4.073581
1.11,33,4.089162
1.75,33,4.104371
1.03,33,4.119027
0.52,33,4.722985
0.55,33,4.737668
0.58,33,4.752818
0.4,33,4.767772
1.82,33,4.787444
1.2,33,4.810422
1.1,33,4.827898
0.52,33,4.843908
1.09,33,4.859494
1.07,33,4.873228
1.68,33,4.887405
1.1,33,4.902103
1.72,33,4.916612
1.0,33,4.930503
1.18,33,4.944737
1.2,33,4.957751
1.14,33,4.972102
1.18,33,4.986173
0.98,33,5.000902
1.13,33,5.015678
0.96,33,5.029612
1.16,33,5.044358
1.08,33,5.058313
1.15,33,5.073395
1.2,33,5.088362
1.08,33,5.103566
1.16,33,5.12754
1.15,33,5.141923
1.22,33,5.156466
1.12,33,5.171241
1.19,33,5.186077
0.98,33,5.200811
1.13,33,5.21502
1.1,33,5.229604
1.06,33,5.244056
1.17,33,5.260336
1.1,33,5.275277
1.03,33,5.290096
1.12,33,5.304886
1.14,33,5.320638
1.06,33,5.336076
0.9,33,5.35566
1.18,33,5.37624
0.52,33,5.397343
1.79,33,5.417916
1.18,33,5.434479
1.23,33,5.447258
0.41,33,5.46242
1.0,33,5.477137
1.12,33,5.492478
1.17,33,5.507685
1.73,33,5.522698
1.07,33,5.538813
1.79,33,5.553427
1.19,33,5.569469
1.14,33,5.584492
1.23,33,5.60745
1.18,33,5.622248
1.12,33,5.637322
1.16,33,5.6522
0.44,33,5.666856
1.13,33,5.681052
1.0,33,6.319191
1.2,33,6.337396
1.19,33,6.354074
1.21,33,6.368975
1.2,33,6.383039
1.72,33,6.39817
1.17,33,6.412937
1.18,33,6.428355
1.21,33,6.443077
1.0,33,6.458871
1.12,33,6.473605
0.98,33,6.488751
1.12,33,6.503773
1.81,33,6.518624
1.16,33,6.534009
1.11,33,6.548922
0.44,33,6.563363
1.11,33,6.578724
1.17,33,6.593588
1.15,33,6.608949
1.23,33,6.62394
1.84,33,6.63863
1.23,33,6.653968
1.2,33,6.669049
1.1,33,6.683097
0.56,33,6.705457
1.76,33,6.720621
1.19,33,6.736003
0.51,33,6.750728
1.19,33,6.76537
1.16,33,6.780777
1.82,33,6.815148
1.1,33,6.830635
1.17,33,6.846707
1.25,33,6.861952
1.2,33,6.877092
1.24,33,6.89165
1.8,33,6.906983
1.1,33,6.922214
1.12,33,6.93642
1.08,33,6.951615
0.6,33,6.967083
1.11,33,6.982287
1.66,33,6.997808
0.93,33,7.012588
1.04,33,7.02785
1.06,33,7.042614
0.42,33,7.056883
1.18,33,7.071921
1.13,33,7.086495
1.2,33,7.10303
1.16,33,7.117886
1.18,33,7.131562
1.11,33,7.146403
1.21,33,7.161823
1.78,33,7.18457
1.13,33,7.199631
1.13,33,7.214836
1.14,33,7.230349
