#{"t_start": 1693326913.761674, "env_id": "GridRoadEnv-v0"}
r,l,t
0.36,80,0.035985
0.46,80,0.069993
1.12,80,0.101438
0.41,80,0.134752
0.5,80,0.16493
0.39,80,0.195159
0.41,80,0.226947
0.43,80,0.259821
0.48,80,0.291757
0.47,80,0.323135
0.59,80,0.355421
0.45,80,0.387747
0.51,80,0.441306
0.99,80,0.473978
0.41,80,0.505893
0.46,80,0.538105
0.52,80,0.569885
0.5,80,0.601359
0.5,80,0.632211
0.39,80,0.661951
0.46,80,0.692914
0.53,80,0.723694
1.26,80,0.755898
0.43,80,0.786996
0.38,80,0.817878
0.49,80,1.453378
0.41,80,1.484744
0.48,80,1.516593
0.46,80,1.54831
0.5,80,1.579156
1.13,80,1.611408
0.41,80,1.642857
1.03,80,1.674855
0.5,80,1.707119
0.47,80,1.739549
0.6,80,1.772024
0.54,80,1.804512
0.49,80,1.843745
0.39,80,1.875286
0.48,80,1.906851
0.49,80,1.938622
0.44,80,1.971157
0.43,80,2.00748
0.36,80,2.04017
0.4,80,2.072628
0.48,80,2.104843
0.47,80,2.137669
0.44,80,2.168572
0.5,80,2.200366
0.44,80,2.231407
0.39,80,2.266373
1.24,80,2.905808
0.5,80,2.937538
0.49,80,2.967509
0.92,80,2.99838
0.57,80,3.027867
0.59,80,3.059016
0.55,80,3.089228
0.47,80,3.119545
0.59,80,3.15055
0.63,80,3.180702
0.27,80,3.211
0.59,80,3.246827
0.59,80,3.278953
0.38,80,3.310373
0.58,80,3.341202
0.55,80,3.372252
0.56,80,3.403098
0.58,80,3.433357
0.56,80,3.463099
0.46,80,3.494297
1.19,80,3.525059
0.57,80,3.555608
0.52,80,3.586739
0.53,80,3.618202
0.49,80,3.65335
1.28,80,4.261024
0.56,80,4.291943
0.52,80,4.325954
1.2,80,4.357287
1.05,80,4.389054
0.5,80,4.420505
0.51,80,4.45201
1.17,80,4.483117
1.2,80,4.513119
0.52,80,4.543608
0.48,80,4.574125
0.43,80,4.612401
0.57,80,4.643869
0.61,80,4.675529
0.63,80,4.707113
1.17,80,4.73796
1.16,80,4.768869
0.43,80,4.799209
0.52,80,4.829386
0.49,80,4.861066
0.48,80,4.892606
0.65,80,4.924201
0.56,80,4.956429
0.43,80,4.987758
1.08,80,5.026141
0.55,80,5.056949
0.61,80,5.669441
1.11,80,5.700608
1.03,80,5.731215
1.1,80,5.762701
1.2,80,5.793931
0.55,80,5.82546
1.2,80,5.857673
0.5,80,5.889041
0.41,80,5.920901
0.59,80,5.952484
0.52,80,5.992005
0.57,80,6.022888
0.68,80,6.053871
1.19,80,6.085191
1.22,80,6.11648
1.22,80,6.147351
1.14,80,6.177821
1.13,80,6.208492
0.57,80,6.239482
1.23,80,6.271174
0.39,80,6.302537
1.21,80,6.333787
0.49,80,6.364233
1.14,80,6.404071
1.24,80,6.435539
1.23,80,6.466929
1.14,80,7.09614
0.59,80,7.12687
1.15,80,7.157237
0.94,80,7.188961
1.05,80,7.219725
0.57,80,7.250012
0.55,80,7.279317
1.02,80,7.30963
1.17,80,7.340449
1.19,80,7.378587
1.23,80,7.409516
1.17,80,7.439976
0.59,80,7.471443
1.11,80,7.503027
1.1,80,7.534642
1.15,80,7.566088
1.16,80,7.597279
0.41,80,7.628871
1.24,80,7.661184
1.13,80,7.692746
1.29,80,7.724158
0.43,80,7.75579
1.14,80,7.794497
1.08,80,7.825894
1.16,80,7.857577
1.02,80,8.479685
1.16,80,8.511888
1.25,80,8.542985
1.19,80,8.574095
1.22,80,8.604562
1.15,80,8.636005
1.24,80,8.666826
1.2,80,8.697708
1.18,80,8.728105
1.16,80,8.765671
1.19,80,8.796838
0.5,80,8.826765
1.23,80,8.858438
1.25,80,8.890162
1.2,80,8.920255
1.07,80,8.950548
1.06,80,8.981472
1.15,80,9.01083
1.23,80,9.041202
1.09,80,9.072419
1.11,80,9.103538
1.16,80,9.135682
1.15,80,9.183027
1.04,80,9.224496
1.1,80,9.256102
1.11,80,9.287654
0.96,80,9.914722
1.14,80,9.947845
1.15,80,9.983713
1.27,80,10.016798
1.06,80,10.047737
1.12,80,10.079412
1.12,80,10.110564
1.3,80,10.147113
1.21,80,10.186948
1.17,80,10.219313
1.08,80,10.255221
1.21,80,10.290727
1.14,80,10.322615
1.09,80,10.354007
1.24,80,10.385577
1.11,80,10.415717
1.04,80,10.445645
1.05,80,10.477743
1.13,80,10.508727
1.07,80,10.539786
1.14,80,10.57135
1.19,80,10.608313
1.23,80,10.639859
1.16,80,10.671317
1.08,80,10.701854
1.11,80,11.306
1.17,80,11.336847
1.28,80,11.366233
1.25,80,11.397311
1.17,80,11.427985
1.15,80,11.459754
1.13,80,11.489769
1.12,80,11.520648
1.1,80,11.559179
1.2,80,11.589667
1.09,80,11.620271
0.96,80,11.650929
1.21,80,11.680951
1.17,80,11.711301
