#{"t_start": 1693151397.7180936, "env_id": "GridRoadEnv-v0"}
r,l,t
0.63,33,0.019117
0.54,33,0.033565
0.61,33,0.046228
0.65,33,0.060397
1.14,33,0.075177
0.48,33,0.089779
0.62,33,0.104146
0.58,33,0.11796
1.12,33,0.131756
1.33,33,0.144162
0.71,33,0.157779
0.55,33,0.170959
0.49,33,0.186082
0.58,33,0.19937
0.43,33,0.213148
1.21,33,0.227561
0.61,33,0.241838
0.49,33,0.259539
0.69,33,0.279351
0.61,33,0.298359
0.71,33,0.318954
0.53,33,0.336386
1.13,33,0.351102
0.6,33,0.365055
0.49,33,0.37889
1.23,33,0.39515
0.55,33,0.409652
0.6,33,0.424134
0.54,33,0.438941
0.63,33,0.453017
0.53,33,0.492538
0.35,33,0.507085
0.56,33,0.521598
0.72,33,0.536846
1.22,33,0.55286
1.29,33,0.568788
1.15,33,0.582772
1.21,33,0.59711
0.67,33,0.611083
0.64,33,0.625177
0.63,33,0.63886
0.55,33,0.652898
1.3,33,0.669615
0.43,33,0.68402
0.71,33,0.697603
1.97,33,0.710561
0.38,33,0.723969
1.14,33,0.73787
0.62,33,0.752514
0.52,33,0.766118
1.26,33,0.779314
0.49,33,0.791865
1.23,33,0.805718
0.63,33,0.819633
0.6,33,0.833647
0.45,33,0.847885
0.58,33,0.86113
1.23,33,0.874029
0.75,33,0.888841
0.64,33,0.902292
1.3,33,0.923225
1.27,33,0.938038
0.55,33,1.564796
0.61,33,1.577845
1.18,33,1.592346
1.11,33,1.606941
0.63,33,1.621549
1.21,33,1.635559
0.58,33,1.650425
1.14,33,1.664002
0.66,33,1.676628
1.31,33,1.689232
1.21,33,1.702653
0.65,33,1.716115
1.31,33,1.728974
1.81,33,1.742308
0.51,33,1.755684
0.68,33,1.769055
1.15,33,1.782824
1.37,33,1.796582
0.7,33,1.811099
1.23,33,1.825229
0.46,33,1.838864
0.46,33,1.852234
1.29,33,1.867309
1.22,33,1.881162
0.68,33,1.895019
0.6,33,1.90836
1.28,33,1.921789
0.68,33,1.935642
1.25,33,1.955998
1.24,33,1.970948
0.69,33,1.984857
1.24,33,1.998723
1.21,33,2.011035
1.34,33,2.024776
1.2,33,2.039348
1.2,33,2.053922
1.23,33,2.067128
1.14,33,2.081558
4.27,28,2.092254
0.51,33,2.106685
0.6,33,2.120083
1.19,33,2.133717
0.71,33,2.146676
1.25,33,2.165043
0.44,33,2.18339
1.27,33,2.201442
1.78,33,2.218356
1.12,33,2.235259
1.21,33,2.251845
4.43,32,2.265859
0.57,33,2.279785
0.71,33,2.292786
1.24,33,2.306868
0.67,33,2.320944
1.18,33,2.334978
0.76,33,2.347388
1.12,33,2.36042
0.51,33,2.37348
0.59,33,2.386962
0.57,33,2.408488
0.66,33,2.422576
0.55,33,2.43635
1.17,33,3.018379
1.31,33,3.031968
0.55,33,3.045059
1.1,33,3.058217
1.24,33,3.071734
1.86,33,3.084865
0.61,33,3.0992
1.19,33,3.113284
1.28,33,3.126641
1.19,33,3.140182
0.55,33,3.155174
0.52,33,3.169625
0.54,33,3.182696
1.97,33,3.195282
1.17,33,3.208933
1.3,33,3.223972
1.25,33,3.237316
1.22,33,3.250498
1.26,33,3.263683
0.63,33,3.277044
1.25,33,3.290763
1.26,33,3.304522
0.61,33,3.317998
1.22,33,3.330765
0.62,33,3.344054
0.55,33,3.357312
1.84,33,3.370645
1.22,33,3.390685
1.25,33,3.404509
0.38,33,3.41939
0.58,33,3.431776
1.21,33,3.446149
1.21,33,3.459187
0.49,33,3.473357
1.16,33,3.488013
0.48,33,3.501141
1.24,33,3.515204
1.19,33,3.528726
0.59,33,3.541745
0.58,33,3.55659
1.12,33,3.570615
1.22,33,3.584792
1.24,33,3.598589
0.55,33,3.612073
0.5,33,3.625542
0.67,33,3.640182
1.28,33,3.653153
1.09,33,3.668116
1.82,33,3.682256
0.49,33,3.695509
0.54,33,3.708736
1.1,33,3.72277
1.26,33,3.736697
0.64,33,3.751656
0.62,33,3.764341
0.49,33,3.777822
1.85,33,3.792189
1.14,33,3.807327
1.15,33,3.827701
1.27,33,3.841185
1.26,33,3.854561
0.65,33,3.868153
1.14,33,4.433943
0.54,33,4.447449
1.25,33,4.459968
1.28,33,4.47319
3.62,26,4.485739
1.76,33,4.499769
1.22,33,4.512775
1.28,33,4.526858
1.22,33,4.54072
1.15,33,4.554634
1.3,33,4.568315
1.27,33,4.582027
1.27,33,4.594699
1.24,33,4.607898
1.18,33,4.622412
1.8,33,4.635959
1.27,33,4.649509
1.27,33,4.663227
1.92,33,4.676337
1.87,33,4.689449
1.23,33,4.703068
1.85,33,4.715984
1.25,33,4.728807
1.12,33,4.74229
0.59,33,4.756779
1.31,33,4.770079
1.06,33,4.791345
1.3,33,4.805374
1.92,33,4.818895
1.23,33,4.83359
1.15,33,4.846369
1.24,33,4.859418
1.25,33,4.873347
0.68,33,4.887069
1.31,33,4.900804
1.22,33,4.914026
1.24,33,4.926679
0.47,33,4.939424
1.24,33,4.95294
1.33,33,4.966295
1.29,33,4.979802
1.23,33,4.993134
1.26,33,5.006728
1.21,33,5.020592
1.31,33,5.035236
0.58,33,5.04932
1.15,33,5.062618
1.14,33,5.076403
1.24,33,5.089692
1.18,33,5.103678
0.45,33,5.117019
0.52,33,5.129807
1.3,33,5.142858
1.05,33,5.156618
1.2,33,5.170619
0.65,33,5.183962
1.34,33,5.203879
1.23,33,5.21697
1.15,33,5.229696
1.31,33,5.242836
1.03,33,5.257622
1.28,33,5.271618
1.19,33,5.838828
1.25,33,5.852215
1.14,33,5.865752
1.31,33,5.878648
1.84,33,5.892478
1.34,33,5.906097
1.76,33,5.920044
1.31,33,5.935451
1.12,33,5.948601
1.12,33,5.961637
1.35,33,5.974095
1.9,33,5.987523
1.31,33,6.000811
1.1,33,6.014071
1.31,33,6.027952
1.18,33,6.041487
1.22,33,6.054506
1.21,33,6.068275
1.92,33,6.08168
1.8,33,6.094874
0.93,33,6.107218
0.6,33,6.121523
1.29,33,6.134987
1.16,33,6.148262
1.82,33,6.162551
1.18,33,6.183425
1.27,33,6.198243
1.88,33,6.211377
1.2,33,6.224877
0.69,33,6.238304
1.22,33,6.252665
1.18,33,6.265903
1.32,33,6.279312
1.29,33,6.29263
1.17,33,6.305543
1.25,33,6.318537
1.22,33,6.332837
1.85,33,6.347526
1.19,33,6.35996
1.29,33,6.373107
1.28,33,6.388886
1.32,33,6.402801
0.56,33,6.417795
1.29,33,6.434235
1.2,33,6.448676
1.28,33,6.463098
1.18,33,6.479275
1.12,33,6.493075
1.27,33,6.50633
1.11,33,6.519566
1.21,33,6.533603
1.22,33,6.546876
1.3,33,6.561734
1.25,33,6.575988
1.23,33,6.590933
1.15,33,6.614137
1.36,33,6.63018
0.64,33,6.644423
1.94,33,6.658787
1.25,33,6.674067
0.49,33,6.688789
1.25,33,6.703398
1.35,33,7.311852
1.21,33,7.327212
1.16,33,7.341268
1.29,33,7.356061
1.14,33,7.369491
1.06,33,7.381953
1.21,33,7.397179
1.01,33,7.410119
1.28,33,7.423987
1.29,33,7.437376
1.21,33,7.452286
4.26,26,7.463284
1.29,33,7.47602
1.89,33,7.489695
1.17,33,7.503475
1.22,33,7.518645
1.35,33,7.533252
1.22,33,7.545554
1.25,33,7.559131
1.25,33,7.573959
1.33,33,7.587496
1.28,33,7.601188
1.2,33,7.615409
1.2,33,7.63765
0.62,33,7.651389
0.61,33,7.664124
1.21,33,7.676795
1.13,33,7.689963
1.3,33,7.703647
1.25,33,7.718593
1.26,33,7.731358
1.06,33,7.744708
1.28,33,7.759169
0.6,33,7.772568
1.2,33,7.785729
1.25,33,7.80017
1.27,33,7.814362
1.15,33,7.828116
1.28,33,7.840785
1.04,33,7.854027
0.57,33,7.868804
1.18,33,7.88131
1.14,33,7.894229
1.26,33,7.907324
1.22,33,7.920654
1.21,33,7.933594
1.37,33,7.946548
1.06,33,7.960111
1.93,33,7.976542
1.15,33,7.990602
1.23,33,8.005334
1.26,33,8.020364
1.17,33,8.033451
1.25,33,8.048383
1.21,33,8.065767
1.25,33,8.07931
1.23,33,8.093008
1.25,33,8.106732
1.41,33,8.120663
2.01,33,8.134492
1.21,33,8.147798
1.19,33,8.160805
1.17,33,8.747024
1.92,33,8.761158
1.34,33,8.774325
1.98,33,8.789105
1.22,33,8.803061
1.22,33,8.816633
1.26,33,8.830193
1.25,33,8.844321
1.92,33,8.857326
1.89,33,8.8707
1.09,33,8.88425
1.82,33,8.89743
1.33,33,8.910385
1.22,33,8.924811
1.24,33,8.938991
1.2,33,8.952808
1.26,33,8.967024
1.27,33,8.980255
1.32,33,8.992839
1.88,33,9.007811
1.22,33,9.021148
1.18,33,9.035182
1.85,33,9.056215
1.28,33,9.07066
1.3,33,9.084241
1.09,33,9.099293
1.09,33,9.112011
1.27,33,9.125225
1.21,33,9.138645
1.92,33,9.151743
1.22,33,9.165001
1.25,33,9.177364
1.25,33,9.190398
1.91,33,9.204291
1.16,33,9.217708
1.81,33,9.232197
1.89,33,9.246382
1.24,33,9.260027
1.31,33,9.273536
1.3,33,9.286967
1.83,33,9.300562
1.21,33,9.313358
1.15,33,9.326782
1.13,33,9.340872
1.31,33,9.354395
1.19,33,9.369685
1.31,33,9.383055
1.26,33,9.396167
0.53,33,9.409291
1.9,33,9.423028
1.24,33,9.436742
1.19,33,9.449847
1.18,33,9.47079
1.19,33,9.484849
1.26,33,9.498836
1.24,33,9.512441
1.96,33,9.525723
1.13,33,9.539436
1.27,33,9.553243
1.37,33,9.566517
1.26,33,9.579368
1.25,33,9.592437
1.3,33,9.607108
0.56,33,10.178411
1.95,33,10.193681
1.21,33,10.206851
1.97,33,10.220245
1.25,33,10.233452
1.15,33,10.246182
1.2,33,10.259647
1.26,33,10.272713
1.71,33,10.286075
1.31,33,10.300758
1.15,33,10.314853
1.9,33,10.329466
1.28,33,10.34286
1.19,33,10.356682
1.27,33,10.37126
1.97,33,10.384739
1.23,33,10.397672
1.32,33,10.410958
1.17,33,10.425861
1.42,33,10.440314
1.37,33,10.462661
1.69,33,10.475769
1.92,33,10.490717
1.26,33,10.504183
1.27,33,10.517778
1.19,33,10.530675
1.23,33,10.543353
1.17,33,10.556579
1.24,33,10.569871
1.87,33,10.583035
1.37,33,10.59574
1.26,33,10.608976
1.9,33,10.624105
1.23,33,10.638674
1.32,33,10.65576
1.3,33,10.673264
1.26,33,10.689895
1.81,33,10.708857
1.18,33,10.727753
1.33,33,10.74442
1.23,33,10.759301
1.2,33,10.774436
1.31,33,10.790179
1.31,33,10.804778
1.15,33,10.819339
1.28,33,10.832878
1.82,33,10.846965
1.18,33,10.860785
1.24,33,10.874959
1.88,33,10.888416
0.33,33,10.905367
1.27,33,10.921069
1.28,33,10.934666
1.25,33,10.950331
1.11,33,10.96479
1.33,33,10.978687
1.3,33,10.991893
1.33,33,11.006387
1.85,33,11.020379
1.82,33,11.034261
1.87,33,11.048138
1.34,33,11.061229
1.24,33,11.634514
1.94,33,11.648075
1.19,33,11.661161
1.93,33,11.675971
1.14,33,11.689798
1.24,33,11.703226
1.93,33,11.715843
1.82,33,11.730709
1.85,33,11.744094
1.26,33,11.757664
1.87,33,11.771158
1.95,33,11.784191
1.28,33,11.798131
