#{"t_start": 1693327763.2954943, "env_id": "GridRoadEnv-v0"}
r,l,t
0.31,80,0.034437
0.34,80,0.069562
0.33,80,0.100077
0.29,80,0.132476
0.33,80,0.16608
0.32,80,0.198762
0.33,80,0.231743
0.31,80,0.264484
1.01,80,0.296968
0.28,80,0.328146
0.2,80,0.358257
0.42,80,0.39086
0.35,80,0.450313
0.28,80,0.48248
0.29,80,0.513662
0.4,80,0.544988
0.28,80,0.575441
0.31,80,0.606284
0.34,80,0.637205
0.36,80,0.668152
0.27,80,0.699124
0.25,80,0.729712
0.9,80,0.759959
0.43,80,0.790531
0.32,80,0.821412
0.31,80,1.432566
0.97,80,1.4638
0.29,80,1.495147
0.26,80,1.525171
0.38,80,1.555331
0.25,80,1.586035
0.27,80,1.61663
0.27,80,1.646716
0.32,80,1.676943
0.37,80,1.7068
0.34,80,1.737436
1.04,80,1.767963
0.26,80,1.805491
0.26,80,1.835912
0.37,80,1.867988
0.28,80,1.899111
0.34,80,1.930516
0.27,80,1.961398
0.97,80,1.991649
0.31,80,2.022474
0.38,80,2.053582
0.27,80,2.084052
0.28,80,2.114825
0.31,80,2.145661
0.27,80,2.181734
0.33,80,2.224378
0.37,80,2.827438
0.33,80,2.859137
0.89,80,2.889788
1.01,80,2.926668
1.1,80,2.957633
0.35,80,2.98821
0.24,80,3.019416
0.29,80,3.051424
0.35,80,3.081967
0.89,80,3.113181
0.98,80,3.14447
1.02,80,3.182949
0.31,80,3.214943
0.96,80,3.246636
0.33,80,3.278123
0.36,80,3.308269
0.38,80,3.339255
0.35,80,3.370447
0.19,80,3.401368
1.02,80,3.432304
1.02,80,3.462687
1.03,80,3.492498
0.3,80,3.52404
0.29,80,3.555104
0.31,80,3.592529
0.35,80,4.20031
0.32,80,4.231185
0.35,80,4.261856
0.96,80,4.292307
0.43,80,4.322376
0.97,80,4.35292
1.04,80,4.383512
1.04,80,4.414262
0.93,80,4.445463
0.36,80,4.476339
0.99,80,4.506084
1.07,80,4.546521
0.32,80,4.578034
0.32,80,4.60848
0.32,80,4.638785
0.46,80,4.669603
0.97,80,4.700424
0.92,80,4.731045
1.06,80,4.761675
0.3,80,4.7918
0.29,80,4.822113
1.0,80,4.852867
0.32,80,4.883603
0.35,80,4.914606
1.07,80,4.952141
0.93,80,4.983152
0.98,80,5.579078
0.94,80,5.610177
0.31,80,5.639884
1.04,80,5.66963
0.99,80,5.699848
0.33,80,5.730879
0.97,80,5.762165
0.94,80,5.79131
1.02,80,5.821625
0.93,80,5.852262
1.0,80,5.890806
1.03,80,5.921894
1.03,80,5.952152
1.09,80,5.982992
0.99,80,6.01312
0.97,80,6.04304
0.39,80,6.072298
0.37,80,6.103614
0.97,80,6.134457
0.9,80,6.16541
0.96,80,6.196859
0.95,80,6.227738
0.98,80,6.257564
0.86,80,6.295501
0.98,80,6.326013
0.94,80,6.355976
1.07,80,6.96064
1.01,80,6.991709
0.97,80,7.021772
1.0,80,7.053267
0.39,80,7.084368
0.98,80,7.114793
0.89,80,7.145549
0.87,80,7.176425
0.9,80,7.206562
0.92,80,7.246614
1.1,80,7.277764
0.98,80,7.307816
0.91,80,7.337742
1.05,80,7.367793
1.01,80,7.398562
0.98,80,7.429965
0.93,80,7.460885
0.93,80,7.490209
0.91,80,7.520872
1.02,80,7.551526
0.93,80,7.581748
1.02,80,7.61195
0.92,80,7.648607
1.04,80,7.679454
0.9,80,7.70991
0.97,80,8.337237
1.04,80,8.367991
0.99,80,8.398041
0.88,80,8.429343
0.89,80,8.459374
1.04,80,8.489978
0.96,80,8.520765
1.01,80,8.5533
0.93,80,8.584278
0.41,80,8.622042
0.96,80,8.652483
0.93,80,8.683294
1.08,80,8.714472
0.88,80,8.744593
1.06,80,8.774413
1.03,80,8.803286
1.0,80,8.833757
0.42,80,8.863957
1.04,80,8.894322
0.85,80,8.924886
1.0,80,8.954381
1.01,80,8.984493
1.09,80,9.021329
0.95,80,9.052083
0.96,80,9.082164
0.97,80,9.116031
0.97,80,9.708326
0.89,80,9.742517
1.04,80,9.774707
1.01,80,9.805182
0.95,80,9.835034
0.99,80,9.866131
1.04,80,9.896099
0.97,80,9.92664
1.04,80,9.964537
0.89,80,9.995631
1.01,80,10.025585
0.98,80,10.056508
1.55,80,10.086793
0.98,80,10.117976
1.02,80,10.148952
0.93,80,10.179825
0.94,80,10.209812
1.02,80,10.239575
0.93,80,10.270439
0.95,80,10.301152
1.04,80,10.331735
0.85,80,10.368965
1.0,80,10.399062
0.96,80,10.429107
1.03,80,10.45892
0.95,80,11.046039
1.61,80,11.076839
0.94,80,11.107314
1.05,80,11.137226
0.98,80,11.168006
0.99,80,11.198757
0.95,80,11.229076
1.05,80,11.259182
1.11,80,11.298456
1.02,80,11.328587
0.96,80,11.359313
1.55,80,11.389243
1.0,80,11.420696
1.07,80,11.451566
1.05,80,11.482804
1.05,80,11.513798
1.03,80,11.54496
0.97,80,11.575397
0.28,80,11.604542
1.07,80,11.635121
1.03,80,11.666378
0.88,80,11.704018
1.12,80,11.734327
1.02,80,11.764673
0.97,80,11.794901
0.93,80,11.824574
0.95,80,12.424568
0.99,80,12.455106
1.01,80,12.486238
1.04,80,12.517762
1.56,80,12.548444
1.0,80,12.578723
0.98,80,12.609302
1.02,80,12.647825
0.96,80,12.677982
0.97,80,12.708114
0.96,80,12.738273
0.97,80,12.769902
0.94,80,12.801036
0.98,80,12.831574
1.02,80,12.862398
1.04,80,12.893432
0.94,80,12.923396
0.94,80,12.954909
1.02,80,12.986419
0.91,80,13.017004
0.98,80,13.050706
0.99,80,13.081181
1.03,80,13.1119
0.96,80,13.143169
1.02,80,13.172902
1.69,80,13.203741
1.03,80,13.806328
1.05,80,13.836787
0.94,80,13.867162
0.88,80,13.897804
1.02,80,13.928273
1.03,80,13.958944
0.99,80,13.997375
0.96,80,14.027833
0.96,80,14.058279
0.99,80,14.088165
1.06,80,14.120557
0.96,80,14.152063
