#{"t_start": 1693406532.560436, "env_id": "GridDroneEnv-v0"}
r,l,t
0.84,23,0.018156
0.33,23,0.029934
0.03,23,0.043062
0.92,23,0.055708
0.33,23,0.068595
0.03,23,0.084247
0.65,23,0.097202
0.06,23,0.113897
0.71,23,0.128484
0.68,23,0.141949
0.06,23,0.155148
1.17,23,0.170393
0.03,23,0.184885
0.95,23,0.198322
0.3,23,0.211158
1.17,23,0.223539
0.03,23,0.238187
0.03,23,0.251219
0.0,23,0.263727
0.68,23,0.276557
0.03,23,0.289773
0.65,23,0.305753
1.17,23,0.322237
0.89,23,0.338006
0.06,23,0.35397
0.3,23,0.368584
0.28,23,0.382212
0.62,23,0.394713
0.03,23,0.407053
0.65,23,0.419971
0.03,23,0.433693
0.09,23,0.447041
0.68,23,0.460664
0.87,23,0.474659
0.06,23,0.488843
0.57,23,0.503566
0.06,23,0.517327
0.65,23,0.530606
0.89,23,0.542743
0.68,23,0.555077
0.09,23,0.5707
0.03,23,0.586514
0.95,23,0.601651
0.3,23,0.640341
0.92,23,0.654752
0.03,23,0.669412
0.71,23,0.684206
0.95,23,0.698142
0.33,23,0.711739
0.03,23,0.72463
0.27,23,0.739196
0.09,23,0.754001
0.33,23,0.767955
1.17,23,0.781468
0.87,23,0.796324
0.87,23,0.810604
0.03,23,0.824838
0.36,23,0.839834
0.33,23,0.854246
0.52,23,0.868776
0.87,23,0.882219
0.92,23,0.89453
0.49,23,0.906733
0.33,23,0.921829
0.9,23,0.936175
0.06,23,0.95109
1.14,23,0.963305
0.03,23,0.97723
0.65,23,0.990394
0.28,23,1.004646
0.62,23,1.019116
0.52,23,1.032646
0.9,23,1.048716
0.28,23,1.064625
0.87,23,1.078187
0.06,23,1.093163
0.68,23,1.106666
0.27,23,1.120026
0.93,23,1.134072
0.09,23,1.146441
0.65,23,1.158369
0.06,23,1.172749
0.84,23,1.186515
0.06,23,1.200944
0.06,23,1.214236
0.89,23,1.22601
0.03,23,1.249879
0.95,23,1.263152
0.93,23,1.276697
0.52,23,1.882074
0.65,23,1.895046
0.89,23,1.908533
1.14,23,1.922519
0.0,23,1.937182
0.03,23,1.950513
1.38,23,1.96363
0.3,23,1.978321
0.25,23,1.993059
0.84,23,2.007351
0.9,23,2.022285
0.28,23,2.036065
0.95,23,2.051424
0.65,23,2.065315
0.3,23,2.079141
0.03,23,2.092053
0.55,23,2.105037
1.14,23,2.120601
1.17,23,2.134168
0.92,23,2.146182
0.65,23,2.159021
0.87,23,2.171577
0.87,23,2.186764
1.57,23,2.201625
1.17,23,2.216375
0.51,23,2.229387
1.14,23,2.247947
0.03,23,2.266323
0.89,23,2.284601
0.92,23,2.3058
0.25,23,2.322938
1.14,23,2.341991
1.14,23,2.356476
0.68,23,2.372249
0.03,23,2.387353
0.68,23,2.400865
0.68,23,2.414262
0.95,23,2.427244
0.9,23,2.440816
0.92,23,2.45418
0.3,23,2.468651
0.68,23,2.489025
0.33,23,2.503405
1.17,23,2.518054
0,23,2.530672
0.92,23,2.544473
0.27,23,2.556929
0.06,23,2.570173
0,23,2.583646
0.3,23,2.595414
0.3,23,2.607953
0.9,23,2.623714
0.68,23,2.639925
0.65,23,2.657208
0.68,23,2.673062
0.06,23,2.687796
0.06,23,2.702817
0.27,23,2.719083
0.68,23,2.733954
0.92,23,2.748846
0.95,23,2.763575
0.0,23,2.777567
0.28,23,2.790482
0.3,23,2.804465
0.9,23,2.818659
1.17,23,2.833872
0.65,23,2.848708
0.33,23,2.863751
1.14,23,2.878191
1.14,23,2.892928
1.12,23,2.906696
0.87,23,2.919575
0.33,23,2.933058
1.17,23,2.947371
1.11,23,2.960555
0.06,23,2.973648
0.33,23,2.986434
1.11,23,2.999438
0.06,23,3.013145
0.92,23,3.027146
0.03,23,3.040046
0.9,23,3.0536
0.65,23,3.067093
0.3,23,3.081903
0.3,23,3.103726
1.11,23,3.117471
0.03,23,3.130695
0.36,23,3.143599
0.25,23,3.154784
0.9,23,3.88498
0.3,23,3.900008
1.11,23,3.915272
0.65,23,3.930089
0.3,23,3.946884
0.3,23,3.964339
0.09,23,3.979444
1.17,23,3.995499
0.98,23,4.012162
0.49,23,4.027185
0.03,23,4.040663
0.03,23,4.055799
1.14,23,4.072705
0.03,23,4.090233
0.95,23,4.10779
0.68,23,4.124952
0.36,23,4.143073
0.27,23,4.156692
0.71,23,4.17334
0.92,23,4.192542
0.92,23,4.207414
0.93,23,4.222497
0.89,23,4.237204
0.84,23,4.251972
4.02,13,4.264016
0.92,23,4.279473
0.33,23,4.294705
0.89,23,4.30964
0.9,23,4.325794
0.39,23,4.341079
0.68,23,4.354653
0.95,23,4.369882
1.14,23,4.382846
1.17,23,4.397904
1.14,23,4.410794
0.92,23,4.424459
0.92,23,4.437801
0.92,23,4.450285
0.3,23,4.467965
0.28,23,4.492344
0.62,23,4.506012
0.3,23,4.518102
0.03,23,4.530068
0.92,23,4.540589
0.24,23,4.552196
0.65,23,4.563609
0.06,23,4.574523
0.95,23,4.586345
1.17,23,4.598089
0.27,23,4.608759
0.95,23,4.619952
1.14,23,4.632414
0.84,23,4.643052
1.14,23,4.65363
0.84,23,4.663826
0.33,23,4.674078
0.92,23,4.684346
0.95,23,4.694511
0.65,23,4.704627
0.92,23,4.71488
0.33,23,4.724993
0.3,23,4.735295
0.84,23,4.745394
0.87,23,4.755505
1.14,23,4.765806
0,23,4.77582
0.92,23,4.785912
0.93,23,4.796185
1.17,23,4.806364
0.68,23,4.816326
0.9,23,4.82652
0.87,23,4.837171
0.24,23,4.848036
0.33,23,4.858433
0.65,23,4.869693
0.27,23,4.880809
0.03,23,4.890884
0.65,23,4.901122
0.92,23,4.911561
0.09,23,4.922019
0.03,23,4.932103
0.9,23,4.942189
0.9,23,4.952272
1.17,23,4.969564
0.95,23,4.980369
0.89,23,4.990809
0.68,23,5.000915
0.33,23,5.011209
1.11,23,5.021352
0.9,23,5.603694
0.03,23,5.613717
0.9,23,5.624047
1.11,23,5.634345
0.92,23,5.644633
0.92,23,5.655031
0,23,5.665216
1.17,23,5.675762
0.33,23,5.686424
0.03,23,5.696387
0.92,23,5.706848
0.92,23,5.717626
1.11,23,5.727804
1.14,23,5.738164
0.33,23,5.748335
0.68,23,5.75867
1.36,23,5.7689
0.65,23,5.778907
1.17,23,5.789315
1.11,23,5.79941
0.9,23,5.809661
0.92,23,5.819793
0.3,23,5.830082
0.95,23,5.840401
0.03,23,5.850493
0.68,23,5.860884
0.68,23,5.871383
0.89,23,5.88156
1.14,23,5.891815
0.87,23,5.902032
0.9,23,5.912336
1.11,23,5.922649
1.14,23,5.933055
1.14,23,5.943354
1.17,23,5.953788
0.9,23,5.964015
0.89,23,5.974274
1.14,23,5.991739
0.95,23,6.00221
0.68,23,6.01245
0.3,23,6.022775
0.9,23,6.033016
1.17,23,6.043629
0.68,23,6.054525
0.95,23,6.064855
1.17,23,6.075315
1.2,23,6.085689
1.11,23,6.095935
0.3,23,6.106299
0.87,23,6.116657
0.92,23,6.126825
1.14,23,6.137062
0.52,23,6.147451
1.14,23,6.157621
0.89,23,6.167749
0.65,23,6.177808
0.87,23,6.18873
0.71,23,6.198881
0.92,23,6.209116
1.17,23,6.2193
0.65,23,6.229346
0.92,23,6.239439
0.84,23,6.249411
0.33,23,6.259636
0.92,23,6.26978
0.62,23,6.279829
1.14,23,6.290374
1.14,23,6.300681
1.14,23,6.310894
0.92,23,6.321211
0.89,23,6.331355
0.68,23,6.341648
0.92,23,6.351758
1.14,23,6.362016
0.92,23,6.372374
1.14,23,6.382571
0.03,23,6.392705
0.87,23,6.403059
1.17,23,6.413368
1.14,23,6.42369
0.84,23,6.434118
0.89,23,6.451507
0.92,23,6.461647
1.14,23,6.471816
0.33,23,6.483605
0.92,23,6.495653
0.33,23,6.506112
0.3,23,6.516412
0.3,23,6.526689
0.9,23,7.099571
1.11,23,7.109862
0.95,23,7.11995
1.14,23,7.130264
1.14,23,7.140516
1.14,23,7.150931
0.3,23,7.161116
0.92,23,7.171248
1.36,23,7.181908
0.95,23,7.192169
0.92,23,7.20257
0.92,23,7.212779
1.11,23,7.222873
0.95,23,7.233064
0.9,23,7.243356
1.17,23,7.253652
0.95,23,7.264011
0.92,23,7.274309
0.3,23,7.284613
1.11,23,7.294953
1.14,23,7.305282
0.89,23,7.315979
0.27,23,7.326382
0.89,23,7.336588
1.17,23,7.347034
1.14,23,7.357261
1.11,23,7.36752
0.95,23,7.377729
1.14,23,7.387927
0.92,23,7.398393
0.62,23,7.408496
0.33,23,7.418788
0.95,23,7.429129
0.65,23,7.439223
1.11,23,7.449571
0.9,23,7.466676
0.33,23,7.476877
0.52,23,7.491199
0.9,23,7.502969
0.92,23,7.51374
1.17,23,7.52409
1.17,23,7.534432
1.14,23,7.544615
0.95,23,7.554914
0.92,23,7.565138
0.95,23,7.575555
1.14,23,7.585796
1.11,23,7.59615
0.92,23,7.60739
0.92,23,7.620846
0.92,23,7.632719
0.68,23,7.643131
0.84,23,7.653361
0.3,23,7.66361
1.14,23,7.673876
0.87,23,7.684313
1.14,23,7.694861
1.17,23,7.706141
1.14,23,7.717498
1.14,23,7.727929
1.11,23,7.738218
1.17,23,7.748594
0.9,23,7.758878
0.33,23,7.769045
1.17,23,7.779416
0.9,23,7.789818
0.92,23,7.800374
1.14,23,7.810707
