#{"t_start": 1693327867.464242, "env_id": "GridRoadEnv-v0"}
r,l,t
0.27,80,0.034734
0.3,80,0.066333
0.39,80,0.098617
0.32,80,0.131251
0.32,80,0.163778
0.29,80,0.194605
0.4,80,0.225304
0.28,80,0.259618
0.3,80,0.292862
0.37,80,0.325475
0.32,80,0.358588
0.46,80,0.390134
0.39,80,0.44364
0.98,80,0.479381
0.41,80,0.5106
0.21,80,0.5418
0.37,80,0.573389
0.29,80,0.607314
0.32,80,0.640648
1.02,80,0.675718
0.38,80,0.708338
0.25,80,0.740487
0.42,80,0.771363
0.44,80,0.801636
1.0,80,0.834415
0.3,80,1.454145
0.38,80,1.485597
0.32,80,1.516907
0.26,80,1.549459
1.0,80,1.580429
0.92,80,1.611584
0.26,80,1.642883
0.24,80,1.676749
0.31,80,1.708671
0.37,80,1.742309
0.29,80,1.773776
0.39,80,1.805789
0.98,80,1.846742
0.17,80,1.879964
0.27,80,1.911266
0.33,80,1.944969
0.4,80,1.976505
0.41,80,2.008082
0.31,80,2.038883
1.08,80,2.072447
0.96,80,2.104408
0.33,80,2.136379
0.3,80,2.169542
0.35,80,2.201906
0.31,80,2.234499
0.3,80,2.273831
0.27,80,2.894285
1.03,80,2.927777
0.98,80,2.959089
0.24,80,2.993613
0.94,80,3.027155
0.39,80,3.063291
0.94,80,3.093564
0.99,80,3.124163
1.0,80,3.156298
0.97,80,3.187213
0.99,80,3.220528
0.96,80,3.261174
0.95,80,3.303818
0.98,80,3.343982
0.99,80,3.381417
0.26,80,3.414805
0.96,80,3.448238
0.96,80,3.478269
0.32,80,3.511795
0.92,80,3.546309
0.97,80,3.577486
1.02,80,3.60906
0.98,80,3.642061
0.95,80,3.674559
1.0,80,3.717256
1.1,80,4.344707
1.08,80,4.377135
0.94,80,4.408753
1.04,80,4.441163
0.93,80,4.474231
0.94,80,4.507315
0.38,80,4.539056
0.91,80,4.571514
0.88,80,4.605835
1.03,80,4.637004
0.89,80,4.670317
1.06,80,4.711578
1.03,80,4.743195
0.94,80,4.775983
0.88,80,4.807282
0.96,80,4.841211
0.95,80,4.872682
0.92,80,4.905068
0.33,80,4.937828
0.97,80,4.971423
0.99,80,5.002413
0.95,80,5.03788
0.93,80,5.069498
0.95,80,5.100934
0.93,80,5.138832
0.94,80,5.170869
0.92,80,5.783611
0.98,80,5.816135
1.01,80,5.847571
0.9,80,5.879505
0.94,80,5.911033
0.96,80,5.941821
1.03,80,5.973257
1.0,80,6.005343
0.92,80,6.037568
0.98,80,6.069383
1.03,80,6.108622
0.96,80,6.143912
1.05,80,6.175884
0.94,80,6.209232
0.94,80,6.241054
0.97,80,6.272738
0.95,80,6.304523
0.95,80,6.335858
0.99,80,6.367435
0.93,80,6.39951
0.99,80,6.431255
0.95,80,6.462581
0.93,80,6.492923
0.99,80,6.534569
0.96,80,6.568143
0.94,80,6.601818
0.89,80,7.212461
1.01,80,7.243682
0.93,80,7.277223
0.99,80,7.309194
1.03,80,7.342011
1.66,80,7.372914
1.04,80,7.404644
1.04,80,7.435995
0.93,80,7.467448
0.97,80,7.507809
1.02,80,7.540098
1.06,80,7.57322
0.93,80,7.604338
1.04,80,7.638033
1.04,80,7.669854
0.99,80,7.701463
0.97,80,7.733477
0.94,80,7.766556
0.93,80,7.798955
0.99,80,7.830151
1.0,80,7.86073
0.97,80,7.891829
0.31,80,7.930285
1.04,80,7.960518
0.98,80,7.991547
1.06,80,8.610825
0.99,80,8.642852
0.99,80,8.676256
1.03,80,8.709618
0.99,80,8.740134
0.97,80,8.770856
1.01,80,8.801944
0.95,80,8.834637
1.01,80,8.867056
1.05,80,8.906102
0.97,80,8.936622
0.93,80,8.967541
1.0,80,9.00016
0.99,80,9.030673
1.03,80,9.06353
0.92,80,9.096293
1.02,80,9.127444
1.01,80,9.158298
0.96,80,9.191917
0.99,80,9.225618
1.01,80,9.259434
0.97,80,9.292748
0.96,80,9.332294
1.05,80,9.365249
1.0,80,9.397191
0.95,80,9.428455
1.02,80,10.045791
0.99,80,10.078134
1.1,80,10.109157
1.01,80,10.143122
0.86,80,10.17417
1.04,80,10.205001
1.0,80,10.238249
1.02,80,10.26988
