#{"t_start": 1693565511.134708, "env_id": "GridRoadEnv-v0"}
r,l,t
0.54,33,0.023553
0.44,33,0.045997
0.46,33,0.062489
1.09,33,0.08165
0.42,33,0.098525
0.58,33,0.116848
0.38,33,0.133017
0.3,33,0.155808
0.25,33,0.17218
1.02,33,0.188541
0.53,33,0.210823
0.34,33,0.232281
0.32,33,0.255272
1.0,33,0.27748
0.31,33,0.301821
1.09,33,0.320799
0.45,33,0.336729
0.34,33,0.356865
0.53,33,0.373988
1.07,33,0.39253
0.4,33,0.411495
0.52,33,0.433052
0.57,33,0.452971
1.1,33,0.469409
1.02,33,0.486958
0.32,33,0.503028
0.47,33,0.52131
0.54,33,0.539013
1.01,33,0.560912
0.24,33,0.58405
0.34,33,0.651141
0.96,33,0.681355
0.44,33,0.706393
1.17,33,0.722902
0.41,33,0.744794
1.11,33,0.769996
0.41,33,0.79851
0.35,33,0.818668
1.2,33,0.83932
0.38,33,0.8545
1.05,33,0.871767
0.21,33,0.88911
1.23,33,0.904204
1.12,33,0.920092
1.19,33,0.935229
0.5,33,0.950074
0.37,33,0.964536
1.81,33,0.97864
0.49,33,0.99168
0.56,33,1.006211
0.92,33,1.019379
0.97,33,1.034799
0.42,33,1.052899
0.28,33,1.073756
0.36,33,1.090849
3.58,24,1.103816
0.2,33,1.119568
0.99,33,1.1348
0.46,33,1.151315
1.0,33,1.166655
0.34,33,1.188363
0.41,33,1.203514
0.31,33,2.14876
0.49,33,2.162936
1.16,33,2.175102
1.06,33,2.188297
0.96,33,2.202834
1.04,33,2.216094
0.49,33,2.230835
1.09,33,2.243987
1.12,33,2.256661
0.37,33,2.271338
1.05,33,2.284179
0.97,33,2.296736
1.07,33,2.309205
1.04,33,2.323758
0.99,33,2.336428
0.34,33,2.354776
0.22,33,2.367876
1.1,33,2.380851
1.09,33,2.39347
0.95,33,2.407679
0.43,33,2.420379
1.11,33,2.435167
0.93,33,2.448424
1.01,33,2.460684
1.03,33,2.473331
1.11,33,2.487707
0.32,33,2.50076
1.0,33,2.51572
1.16,33,2.529066
0.99,33,2.551315
1.09,33,2.564538
1.03,33,2.577177
1.14,33,2.592856
0.36,33,2.6081
1.75,33,2.621095
1.13,33,2.636068
0.97,33,2.651359
0.51,33,2.665665
1.09,33,2.67963
1.07,33,2.692882
1.03,33,2.705949
0.29,33,2.720337
0.29,33,2.73367
1.11,33,2.748028
0.44,33,2.760899
0.41,33,2.775276
0.27,33,2.789221
0.38,33,2.80532
1.06,33,2.818561
0.98,33,2.833364
0.41,33,2.84684
1.07,33,2.859509
0.99,33,2.875662
1.1,33,2.892034
0.35,33,2.905453
1.11,33,2.919585
0.37,33,2.932706
0.4,33,2.947232
1.12,33,2.960389
0.4,33,2.981111
0.56,33,2.993885
1.15,33,3.008745
1.14,33,3.894715
1.02,33,3.90765
1.22,33,3.922314
1.03,33,3.934898
1.12,33,3.948987
1.05,33,3.961952
0.47,33,3.976004
0.36,33,3.988673
1.08,33,4.002864
1.05,33,4.01602
0.94,33,4.029945
1.07,33,4.04284
1.04,33,4.056145
1.1,33,4.070148
1.7,33,4.083637
1.02,33,4.096271
1.17,33,4.109099
1.03,33,4.127381
0.3,33,4.150413
0.4,33,4.164506
1.01,33,4.183842
1.22,33,4.201284
1.2,33,4.214748
1.2,33,4.229765
1.01,33,4.244008
0.98,33,4.260772
1.07,33,4.276083
1.1,33,4.29632
1.11,33,4.30895
0.99,33,4.325316
1.13,33,4.338247
1.13,33,4.352926
1.0,33,4.365758
0.31,33,4.378328
0.39,33,4.391652
1.24,33,4.405753
0.37,33,4.41912
0.44,33,4.435234
1.04,33,4.448344
0.46,33,4.460461
1.12,33,4.478468
1.15,33,4.491484
1.23,33,4.504674
0.36,33,4.518673
1.11,33,4.531436
1.02,33,4.543857
0.93,33,4.558645
1.11,33,4.571768
1.11,33,4.585226
0.46,33,4.598289
1.13,33,4.611488
0.48,33,4.624332
1.01,33,4.639047
0.99,33,4.654313
1.01,33,4.669752
1.27,33,4.682753
0.45,33,4.694992
1.07,33,4.708189
1.07,33,4.728451
0.89,33,4.742479
0.96,33,4.758166
0.5,33,4.770746
1.1,33,5.535125
1.0,33,5.549829
1.09,33,5.563676
1.05,33,5.575995
0.95,33,5.588893
1.86,33,5.603587
1.14,33,5.61711
1.18,33,5.6311
1.02,33,5.645073
0.95,33,5.662828
1.14,33,5.678743
1.09,33,5.692556
0.94,33,5.706659
4.21,29,5.719966
1.1,33,5.734043
1.16,33,5.748053
0.95,33,5.761921
0.39,33,5.775654
1.02,33,5.789562
0.54,33,5.804138
1.02,33,5.817528
3.59,33,5.831659
1.15,33,5.846029
1.15,33,5.859597
1.26,33,5.875178
0.36,33,5.888855
0.92,33,5.908821
0.97,33,5.923631
1.08,33,5.936974
1.06,33,5.952233
1.11,33,5.965975
1.19,33,5.979123
1.0,33,5.992682
0.35,33,6.007882
1.12,33,6.02208
0.96,33,6.037006
0.93,33,6.050147
0.36,33,6.064962
1.12,33,6.079018
3.7,32,6.092113
1.15,33,6.106195
1.0,33,6.123613
0.33,33,6.137302
1.04,33,6.152508
0.44,33,6.166207
1.06,33,6.179535
1.01,33,6.193353
0.95,33,6.210452
1.2,33,6.223503
1.05,33,6.238801
0.47,33,6.252263
1.01,33,6.266127
1.03,33,6.279294
1.08,33,6.292183
0.95,33,6.306212
0.43,33,6.322306
1.13,33,6.3431
1.06,33,6.358242
1.06,33,6.371645
1.05,33,6.385058
1.03,33,6.399074
1.07,33,6.413256
1.11,33,7.205511
1.11,33,7.223577
1.1,33,7.238319
1.06,33,7.255406
0.97,33,7.27134
1.06,33,7.285263
0.9,33,7.298956
1.15,33,7.312593
1.77,33,7.327758
1.15,33,7.343577
0.44,33,7.360181
4.31,32,7.373564
1.18,33,7.387085
1.16,33,7.401213
1.09,33,7.414797
1.13,33,7.42803
0.98,33,7.442445
1.02,33,7.455784
1.14,33,7.471944
1.11,33,7.484772
1.88,33,7.49752
1.06,33,7.510643
1.0,33,7.524369
0.98,33,7.538105
0.94,33,7.552411
1.02,33,7.57192
1.0,33,7.584779
0.99,33,7.597785
1.02,33,7.612514
1.02,33,7.626743
0.97,33,7.641061
1.1,33,7.654444
1.72,33,7.673348
1.02,33,7.689143
1.07,33,7.703133
1.27,33,7.718722
1.01,33,7.732549
1.07,33,7.746216
0.97,33,7.760898
1.14,33,7.77442
1.08,33,7.788244
1.07,33,7.803439
1.07,33,7.816369
1.14,33,7.829789
1.03,33,7.844382
1.63,33,7.85802
1.08,33,7.873345
1.7,33,7.886801
1.08,33,7.899814
1.05,33,7.912847
1.2,33,7.927107
1.12,33,7.940059
0.51,33,7.955081
1.02,33,7.968124
1.07,33,7.981151
0.98,33,8.004224
1.1,33,8.018444
1.0,33,8.033575
0.95,33,8.048927
1.04,33,8.061688
0.92,33,8.077033
1.09,33,8.089994
0.97,33,8.942549
4.25,27,8.959974
1.15,33,8.978007
1.59,33,8.995844
1.09,33,9.013911
1.0,33,9.032073
0.98,33,9.050572
0.99,33,9.069462
1.05,33,9.08975
1.09,33,9.107445
1.03,33,9.131193
1.1,33,9.152585
0.99,33,9.172241
4.15,17,9.186888
1.08,33,9.203922
0.94,33,9.22083
1.16,33,9.239076
1.02,33,9.261415
1.03,33,9.28341
1.11,33,9.3075
0.98,33,9.32705
1.87,33,9.344659
0.4,33,9.362162
1.2,33,9.377322
1.12,33,9.404368
1.16,33,9.423231
0.99,33,9.44063
1.74,33,9.459156
0.33,33,9.478212
1.78,33,9.495362
1.01,33,9.513156
1.03,33,9.53447
1.05,33,9.556857
1.02,33,9.578158
1.08,33,9.599277
1.01,33,9.61698
1.06,33,9.639316
1.0,33,9.658462
0.9,33,9.676685
1.13,33,9.693138
1.16,33,9.710716
1.02,33,9.728407
1.08,33,9.745274
1.07,33,9.763103
1.08,33,9.779435
1.09,33,9.79741
1.17,33,9.813215
0.96,33,9.829182
1.19,33,9.845909
1.21,33,9.862454
1.12,33,9.880524
1.02,33,9.895648
0.95,33,9.912755
1.09,33,9.930424
1.08,33,9.950546
1.14,33,9.966598
1.07,33,9.981852
1.1,33,10.000195
1.05,33,10.019059
1.05,33,10.047591
1.22,33,10.070541
1.06,33,10.089985
1.08,33,10.108955
1.08,33,11.042884
1.12,33,11.068314
0.96,33,11.090997
1.06,33,11.11265
1.01,33,11.134679
4.22,30,11.157956
0.95,33,11.180554
1.08,33,11.200746
1.0,33,11.220204
1.0,33,11.240374
1.14,33,11.260802
1.8,33,11.296881
1.13,33,11.321167
1.17,33,11.34911
0.97,33,11.374921
1.04,33,11.390983
1.08,33,11.406559
1.0,33,11.422472
1.03,33,11.439634
1.08,33,11.457819
1.2,33,11.474553
1.03,33,11.492982
0.95,33,11.517349
1.0,33,11.539563
1.01,33,11.557848
1.06,33,11.573178
1.08,33,11.589693
0.98,33,11.604609
0.9,33,11.619543
1.0,33,11.636174
1.03,33,11.655224
1.07,33,11.673398
0.96,33,11.688021
1.12,33,11.704259
1.1,33,11.720534
1.06,33,11.737103
4.19,16,11.745973
1.66,33,11.761281
1.06,33,11.777511
0.94,33,11.793314
4.18,30,11.806422
4.15,19,11.814357
1.23,33,11.830413
1.0,33,11.845963
0.96,33,11.860763
1.13,33,11.8769
1.1,33,11.891241
1.06,33,11.907217
0.96,33,11.922963
1.04,33,11.937321
3.64,22,11.948623
1.05,33,11.963369
1.84,33,11.978633
1.11,33,12.001429
0.92,33,12.016208
1.06,33,12.032657
1.06,33,12.04894
1.74,33,12.064383
0.95,33,12.079209
3.63,32,12.094664
1.09,33,12.110016
4.18,30,12.123861
1.13,33,12.13825
0.93,33,12.156486
0.96,33,13.055675
4.24,26,13.069411
1.23,33,13.089119
1.87,33,13.107664
1.1,33,13.12649
0.97,33,13.144104
1.76,33,13.161835
1.21,33,13.177477
0.91,33,13.193236
0.94,33,13.208085
1.04,33,13.221676
0.94,33,13.237525
1.2,33,13.251152
1.21,33,13.265477
4.18,14,13.274414
4.21,21,13.283403
4.26,30,13.297486
0.97,33,13.311816
4.19,17,13.320142
1.08,33,13.336471
0.93,33,13.350971
0.99,33,13.386967
0.98,33,13.406565
4.18,19,13.415886
4.24,18,13.426015
1.08,33,13.444518
1.05,33,13.464036
0.94,33,13.482063
1.2,33,13.498266
1.05,33,13.512805
1.04,33,13.529182
1.15,33,13.545078
0.97,33,13.561962
1.26,33,13.578462
1.11,33,13.596137
1.18,33,13.612132
1.06,33,13.626165
1.01,33,13.642995
0.88,33,13.658113
0.97,33,13.673699
1.18,33,13.68987
4.23,24,13.699716
0.92,33,13.712842
1.0,33,13.730217
0.98,33,13.745755
1.04,33,13.762296
4.15,30,13.776475
1.14,33,13.792256
1.08,33,13.808199
1.02,33,13.821414
0.99,33,13.834736
1.05,33,13.851016
4.21,33,13.867025
1.11,33,13.897026
1.12,33,13.911937
0.95,33,13.928286
1.15,33,13.943537
1.05,33,13.95942
1.06,33,13.974327
1.04,33,13.990342
1.1,33,14.005564
1.8,33,14.020189
1.02,33,14.034495
1.7,33,14.051646
1.75,33,14.067082
1.09,33,14.998095
1.08,33,15.012504
1.08,33,15.026768
4.05,13,15.032466
0.96,33,15.047098
1.08,33,15.059961
1.02,33,15.075606
1.29,33,15.089046
1.82,33,15.101875
1.01,33,15.116959
1.0,33,15.129742
1.73,33,15.143164
1.01,33,15.157741
4.13,13,15.163962
1.14,33,15.177016
0.96,33,15.192182
0.99,33,15.20585
3.7,32,15.21797
1.18,33,15.23145
1.17,33,15.245426
1.0,33,15.265674
