#{"t_start": 1693406820.538715, "env_id": "GridDroneEnv-v0"}
r,l,t
0.33,23,0.01581
0.68,23,0.02906
0.03,23,0.042135
1.17,23,0.054693
0.68,23,0.067809
0.06,23,0.084071
0.06,23,0.097573
1.14,23,0.112334
0.33,23,0.12566
0.06,23,0.140375
0.68,23,0.155051
0.68,23,0.1689
0.06,23,0.181012
0.3,23,0.193919
0.0,23,0.208953
0.9,23,0.223378
0.95,23,0.238549
0.95,23,0.252126
0,23,0.266165
0.27,23,0.277717
0.03,23,0.292137
0.65,23,0.30532
0.03,23,0.319248
0.92,23,0.331746
0.33,23,0.344044
0.33,23,0.357257
0.03,23,0.370178
0.71,23,0.382012
0.84,23,0.394212
0.87,23,0.407308
1.14,23,0.419138
0.49,23,0.43203
0.92,23,0.445063
0.33,23,0.457762
0.95,23,0.470608
0.92,23,0.482586
0.65,23,0.49507
0.92,23,0.508433
0.3,23,0.521392
0.27,23,0.534069
0.33,23,0.548127
1.11,23,0.564399
0.68,23,0.583257
0.22,23,0.622383
0.87,23,0.635255
1.17,23,0.647159
0.33,23,0.660514
0.55,23,0.673814
0.33,23,0.688578
0.92,23,0.703133
0.68,23,0.714173
0.09,23,0.727354
0.95,23,0.740582
0.5,23,0.753929
0.3,23,0.765143
0.33,23,0.777408
0.54,23,0.789804
1.2,23,0.803293
0.03,23,0.814217
0.03,23,0.826948
0.68,23,0.839872
0.03,23,0.8518
0.03,23,0.864045
0.65,23,0.876539
0.33,23,0.890344
0.25,23,0.903071
1.11,23,0.914855
0.33,23,0.92695
0.65,23,0.939625
0.03,23,0.951989
0.06,23,0.963612
0.28,23,0.975782
0.06,23,0.98822
0.3,23,1.001107
0.3,23,1.012568
0.87,23,1.024873
0.06,23,1.037419
0.3,23,1.050096
0.22,23,1.061209
0.09,23,1.075067
0.98,23,1.087734
0.03,23,1.100648
0.06,23,1.111736
0.92,23,1.124326
0.03,23,1.136629
0.06,23,1.148367
0.9,23,1.16609
1.14,23,1.177876
0.95,23,1.19059
0.55,23,1.78617
0.89,23,1.799301
0.52,23,1.810505
0.03,23,1.823567
0.65,23,1.83706
0.03,23,1.848581
0.3,23,1.86388
0.03,23,1.875175
0.28,23,1.88854
0.03,23,1.901245
0.33,23,1.913929
0.89,23,1.925818
0.55,23,1.939004
0.25,23,1.952072
1.11,23,1.965247
0.68,23,1.977197
0.71,23,1.989866
0.65,23,2.002993
0.92,23,2.015974
0.27,23,2.027523
0.68,23,2.040176
0.3,23,2.053064
0.06,23,2.065688
0.68,23,2.077608
0.62,23,2.090835
0.95,23,2.104023
0.71,23,2.116961
0.87,23,2.127912
0.95,23,2.141361
1.14,23,2.154746
0.65,23,2.166
0.0,23,2.1784
0.0,23,2.192004
0.22,23,2.204772
0.9,23,2.218229
0.0,23,2.228961
0.92,23,2.242474
0.27,23,2.255365
0.62,23,2.268081
0.03,23,2.279279
0.9,23,2.292594
0.27,23,2.308784
0.52,23,2.321929
0.22,23,2.335091
0.06,23,2.34661
0.87,23,2.360443
0.03,23,2.374398
0.65,23,2.387769
0.3,23,2.399959
0.95,23,2.4117
0.65,23,2.424905
0.33,23,2.43784
0.3,23,2.449387
0.68,23,2.461458
0.0,23,2.47453
0.27,23,2.487233
0.03,23,2.499065
