#{"t_start": 1693408655.7224007, "env_id": "GridDroneEnv-v0"}
r,l,t
0.11,38,0.023545
0.09,38,0.044526
0.01,38,0.066548
0.01,38,0.088793
0.13,38,0.111467
0.11,38,0.135053
0.09,38,0.156135
0.12,38,0.179513
0.14,38,0.19993
0.11,38,0.223202
0.1,38,0.24706
0.08,38,0.271624
0.05,38,0.299405
0.1,38,0.327556
0.04,38,0.352022
0.0,38,0.376284
0.18,38,0.39943
0.15,38,0.426
0.07,38,0.454016
0.26,38,0.482175
0.14,38,0.507869
0.16,38,0.531631
0.05,38,0.556421
0.06,38,0.580555
0.18,38,0.605458
0.05,38,0.629125
0.14,38,0.67758
0.15,38,0.699593
0.03,38,0.72245
0.02,38,0.746734
0.01,38,0.769383
0.12,38,0.792791
0.01,38,0.814707
0.06,38,0.839102
0.12,38,0.863415
0.14,38,0.885982
0.02,38,0.911645
0.01,38,0.934005
0.05,38,0.957127
0.04,38,0.980476
0.15,38,1.002214
0.14,38,1.026932
0.18,38,1.047982
0.06,38,1.07451
0.07,38,1.096614
0.14,38,1.119716
0.08,38,1.143726
0.12,38,1.163224
0.02,38,1.185036
0.13,38,1.207427
0.01,38,1.229164
0.19,38,1.251582
0.66,38,1.280755
0.22,38,2.335886
0.19,38,2.358541
0.15,38,2.37936
0.17,38,2.400721
0.11,38,2.426495
0.01,38,2.449604
0.01,38,2.474513
0.13,38,2.498354
0.2,38,2.522806
0.16,38,2.557546
0.05,38,2.589571
0.13,38,2.624778
0.07,38,2.652467
0.12,38,2.676606
0.05,38,2.700043
0.12,38,2.725613
0.11,38,2.748292
0.01,38,2.775908
0.15,38,2.800216
0.19,38,2.834168
0.01,38,2.868177
0.08,38,2.895602
0.21,38,2.920249
0.05,38,2.942398
0.11,38,2.96367
0.07,38,2.996439
0.21,38,3.018924
0.22,38,3.04084
0.15,38,3.062823
0.03,38,3.08642
0.07,38,3.108076
0.06,38,3.129657
0.03,38,3.152594
0.24,38,3.176076
0.17,38,3.198822
0.09,38,3.223111
0.02,38,3.246316
0.16,38,3.268068
0.13,38,3.289494
0.1,38,3.311232
0.06,38,3.331859
0.21,38,3.354048
0.12,38,3.3764
0.03,38,3.396987
0.28,38,3.418718
0.07,38,3.443571
0.17,38,3.466741
0.02,38,3.489568
0.03,38,3.513115
0.2,38,3.532856
0.13,38,3.562227
0.15,38,3.59579
0.01,38,3.644704
0.67,38,3.676254
0.12,38,4.418702
0.26,38,4.441273
0.17,38,4.466921
0.25,38,4.488918
0.14,38,4.510194
0.11,38,4.535477
0.19,38,4.558785
0.15,38,4.582113
0.1,38,4.60362
0.03,38,4.624792
0.28,38,4.649602
0.11,38,4.671949
0.2,38,4.693821
0.21,38,4.71634
0.1,38,4.737695
0.27,38,4.758616
0.14,38,4.780632
0.16,38,4.806399
0.12,38,4.830354
0.02,38,4.856592
0.13,38,4.882555
0.11,38,4.903229
0.15,38,4.92516
0.23,38,4.94662
0.13,38,4.977422
0.3,38,5.000522
0.77,38,5.025092
0.03,38,5.050821
0.13,38,5.075513
0.19,38,5.099459
0.18,38,5.1246
0.16,38,5.146822
0.17,38,5.171105
0.28,38,5.192733
0.22,38,5.216584
0.75,38,5.241879
0.09,38,5.264663
0.18,38,5.287835
0.17,38,5.310096
0.01,38,5.332985
0.26,38,5.356959
0.15,38,5.377644
0.12,38,5.399985
0.19,38,5.424911
0.22,38,5.447301
0.12,38,5.472197
0.16,38,5.496886
0.25,38,5.521854
0.14,38,5.544859
0.08,38,5.567864
0.04,38,5.601684
0.12,38,5.62424
0.67,38,5.647489
0.16,38,5.669463
0.15,38,6.367743
0.13,38,6.390346
0.13,38,6.415431
0.08,38,6.437002
0.04,38,6.462079
0.22,38,6.483989
0.8,38,6.505815
0.15,38,6.526462
0.07,38,6.548803
0.04,38,6.571704
0.02,38,6.593717
0.76,38,6.616141
0.24,38,6.641414
0.08,38,6.663019
0.13,38,6.685571
0.11,38,6.710393
0.16,38,6.732637
0.13,38,6.754936
0.13,38,6.778439
0.33,38,6.799689
0.09,38,6.823396
0.17,38,6.845843
0.04,38,6.868404
0.16,38,6.901408
0.2,38,6.925019
0.25,38,6.947582
0.14,38,6.971638
0.15,38,6.998939
0.23,38,7.03246
0.15,38,7.064103
0.12,38,7.094161
0.07,38,7.124412
0.23,38,7.152386
0.02,38,7.176324
0.08,38,7.197881
0.13,38,7.222748
0.08,38,7.245869
0.21,38,7.268996
0.15,38,7.292273
0.2,38,7.313535
0.08,38,7.336413
0.19,38,7.35849
0.11,38,7.378744
0.08,38,7.400844
0.66,38,7.42355
0.31,38,7.44477
0.11,38,7.465797
0.17,38,7.487951
0.07,38,7.511297
0.14,38,7.54307
0.02,38,7.564192
0.17,38,7.587848
0.13,38,7.613804
0.17,38,7.637831
0.15,38,8.359542
0.17,38,8.379522
0.22,38,8.401768
0.07,38,8.426319
0.11,38,8.447386
0.24,38,8.469997
0.24,38,8.496563
0.09,38,8.521387
0.21,38,8.544958
0.1,38,8.567059
0.21,38,8.592901
0.1,38,8.619052
0.23,38,8.64467
0.06,38,8.666838
0.17,38,8.690055
0.32,38,8.713328
0.08,38,8.73719
0.1,38,8.760461
0.15,38,8.780733
0.25,38,8.801757
0.08,38,8.823928
0.03,38,8.850885
0.08,38,8.873261
0.16,38,8.89352
0.19,38,8.914443
0.21,38,8.939039
0.21,38,8.959816
0.19,38,8.980941
0.16,38,9.001873
0.06,38,9.025486
0.24,38,9.046793
0.14,38,9.069038
0.11,38,9.09063
0.02,38,9.113008
0.21,38,9.137016
0.16,38,9.158173
0.06,38,9.180528
0.23,38,9.203758
0.69,38,9.226135
0.17,38,9.250229
0.12,38,9.27353
0.26,38,9.295951
0.14,38,9.31894
0.11,38,9.343591
0.13,38,9.368916
0.11,38,9.39054
0.08,38,9.410103
0.09,38,9.430967
0.17,38,9.456982
0.15,38,9.478378
0.09,38,9.499667
0.04,38,9.524335
0.27,38,9.545501
0.08,38,9.568838
0.15,38,10.234239
0.18,38,10.258439
0.26,38,10.282787
0.26,38,10.303134
0.25,38,10.325957
0.17,38,10.34878
0.04,38,10.371614
0.25,38,10.392994
0.25,38,10.413089
0.21,38,10.438816
0.11,38,10.460821
0.21,38,10.483292
0.2,38,10.506089
0.11,38,10.5273
0.19,38,10.548634
0.14,38,10.571909
0.26,38,10.594401
0.24,38,10.614984
0.08,38,10.639151
0.21,38,10.662451
0.03,38,10.688737
0.23,38,10.70937
0.22,38,10.729909
0.16,38,10.750718
0.12,38,10.773255
0.2,38,10.793659
0.15,38,10.814519
0.08,38,10.837201
0.08,38,10.858001
0.23,38,10.878498
0.04,38,10.90057
0.16,38,10.9222
0.17,38,10.944033
0.12,38,10.963938
0.32,38,10.986421
0.17,38,11.009802
0.2,38,11.030017
0.21,38,11.053567
0.28,38,11.075954
0.18,38,11.098944
0.11,38,11.122652
0.13,38,11.144228
0.11,38,11.164839
0.02,38,11.187232
0.23,38,11.210279
0.22,38,11.230709
0.15,38,11.259992
0.13,38,11.282727
0.22,38,11.304854
0.26,38,11.327587
0.17,38,11.348024
0.13,38,11.371601
0.09,38,11.395369
0.15,38,11.416402
0.14,38,12.084031
0.74,38,12.105565
0.11,38,12.128668
0.19,38,12.150422
0.16,38,12.175899
0.12,38,12.19874
0.11,38,12.220707
0.22,38,12.245807
0.07,38,12.267106
0.16,38,12.291623
0.85,38,12.313881
0.06,38,12.340187
0.09,38,12.364781
0.07,38,12.388071
0.17,38,12.409065
0.14,38,12.430396
0.13,38,12.453072
0.03,38,12.475192
0.21,38,12.496483
0.1,38,12.523299
0.13,38,12.544395
0.14,38,12.56566
0.14,38,12.588006
0.18,38,12.612182
0.18,38,12.638035
0.15,38,12.659309
0.16,38,12.680815
0.15,38,12.705429
0.22,38,12.7263
0.22,38,12.747752
0.2,38,12.7701
0.19,38,12.792123
0.16,38,12.813661
0.23,38,12.837218
0.08,38,12.861889
0.32,38,12.88431
0.11,38,12.906284
0.22,38,12.927976
0.06,38,12.949707
0.14,38,12.974344
0.18,38,12.995348
0.26,38,13.01712
0.25,38,13.039851
0.04,38,13.060594
0.22,38,13.082292
0.08,38,13.108277
0.25,38,13.129767
0.25,38,13.152344
0.12,38,13.17387
0.08,38,13.197249
0.25,38,13.220044
0.14,38,13.244099
0.2,38,13.26832
0.06,38,13.290039
0.32,38,14.001291
0.18,38,14.024174
0.29,38,14.048092
0.19,38,14.068747
0.16,38,14.091279
0.15,38,14.112913
0.82,38,14.136112
0.02,38,14.158656
0.26,38,14.181944
0.12,38,14.20623
0.07,38,14.229852
0.28,38,14.252231
0.23,38,14.274407
0.19,38,14.296635
0.16,38,14.318043
0.31,38,14.341951
0.2,38,14.365078
0.26,38,14.397023
0.38,38,14.420202
0.14,38,14.442907
0.23,38,14.464514
0.24,38,14.486502
0.25,38,14.507994
0.26,38,14.528578
0.15,38,14.551694
0.28,38,14.575618
0.24,38,14.601459
0.23,38,14.621869
0.31,38,14.642296
0.16,38,14.668481
0.18,38,14.690485
0.27,38,14.710404
0.25,38,14.733351
