#{"t_start": 1693411435.3877199, "env_id": "GridDroneEnv-v0"}
r,l,t
0.18,42,0.025005
0.24,42,0.046477
0.12,42,0.06543
0.2,42,0.085368
0.06,42,0.106878
0.15,42,0.127894
0.03,42,0.146709
0.17,42,0.167874
0.11,42,0.187896
0.05,42,0.208308
0.03,42,0.229115
0.13,42,0.247744
0.22,42,0.267819
0.12,42,0.28948
0.09,42,0.31121
0.22,42,0.33049
0.14,42,0.349903
0.01,42,0.37189
0.15,42,0.391133
0.02,42,0.410303
0.04,42,0.429999
0.03,42,0.4492
0.06,42,0.470051
0.09,42,0.510687
0.04,42,0.530426
0.04,42,0.550097
0.08,42,0.572916
0.08,42,0.592366
0.06,42,0.611022
0.15,42,0.63038
0.08,42,0.649603
0.17,42,0.671052
0.26,42,0.690766
0.01,42,0.710113
0.13,42,0.729987
0.06,42,0.749636
0.21,42,0.770747
0.01,42,0.790018
0.04,42,0.809125
0.03,42,0.828934
0.06,42,0.848102
0.01,42,0.868413
0.04,42,0.889571
0.06,42,0.90963
0.02,42,0.929259
0.02,42,0.948349
0.14,42,0.967934
0.21,42,0.993006
0.01,42,1.638878
0.08,42,1.659348
0.11,42,1.679202
0.08,42,1.698745
0.21,42,1.72099
0.22,42,1.740405
0.16,42,1.760072
0.21,42,1.779877
0.18,42,1.800549
0.12,42,1.822025
0.19,42,1.841424
0.12,42,1.861476
0.23,42,1.880536
0.02,42,1.901567
0.08,42,1.922779
0.06,42,1.942214
0.17,42,1.961673
0.1,42,1.981394
0.19,42,2.002688
0.06,42,2.023555
0.21,42,2.042773
0.27,42,2.06281
0.06,42,2.083574
0.11,42,2.10731
0.15,42,2.12685
0.17,42,2.146003
0.15,42,2.167113
0.03,42,2.188012
0.02,42,2.207979
0.26,42,2.228075
0.24,42,2.24808
0.06,42,2.268651
0.16,42,2.288755
0.02,42,2.30796
0.01,42,2.327817
0.05,42,2.34699
0.14,42,2.36942
0.13,42,2.390033
0.04,42,2.409175
0.08,42,2.428879
0.03,42,2.44767
0.2,42,2.469347
0.04,42,2.489616
0.1,42,2.508829
0.06,42,2.528372
0.92,42,2.548056
0.24,42,2.568917
0.15,42,2.597596
0.16,42,2.619007
0.2,42,3.239419
0.13,42,3.260329
0.22,42,3.279839
0.11,42,3.300353
0.04,42,3.321388
0.11,42,3.341506
0.17,42,3.360302
0.14,42,3.379508
0.06,42,3.39995
0.28,42,3.421373
0.77,42,3.440579
0.12,42,3.46076
0.02,42,3.479919
0.05,42,3.500269
0.13,42,3.521706
0.26,42,3.541043
0.16,42,3.560485
0.21,42,3.579862
0.81,42,3.601099
0.01,42,3.621485
0.76,42,3.640798
0.02,42,3.659573
0.26,42,3.688329
0.03,42,3.708253
0.16,42,3.727844
0.08,42,3.746939
0.21,42,3.768269
0.23,42,3.789005
0.12,42,3.808906
0.64,42,3.829313
0.01,42,3.84867
0.26,42,3.869659
0.14,42,3.889493
0.14,42,3.908685
0.16,42,3.928986
0.09,42,3.947984
0.15,42,3.968931
0.02,42,3.990976
0.1,42,4.01283
0.16,42,4.032147
0.08,42,4.053603
0.27,42,4.07312
0.15,42,4.092797
0.12,42,4.11192
0.04,42,4.131965
0.1,42,4.160581
0.15,42,4.179775
0.08,42,4.200206
0.19,42,4.222061
0.16,42,4.841034
0.11,42,4.860965
0.12,42,4.880088
0.01,42,4.89964
0.19,42,4.921554
0.09,42,4.940594
0.06,42,4.96056
0.08,42,4.980304
0.19,42,5.00101
0.08,42,5.021702
0.23,42,5.041577
0.04,42,5.060689
0.16,42,5.079679
0.07,42,5.100258
0.17,42,5.12165
0.04,42,5.141086
0.06,42,5.159883
0.7,42,5.179014
0.12,42,5.199532
0.23,42,5.219957
0.25,42,5.247212
0.06,42,5.267414
0.02,42,5.28788
0.16,42,5.308088
0.01,42,5.327408
0.16,42,5.347015
0.85,42,5.367763
0.16,42,5.387835
0.05,42,5.407263
0.37,42,5.427183
0.03,42,5.446781
0.35,42,5.468034
0.06,42,5.487695
0.64,42,5.506913
0.77,42,5.526074
0.99,42,5.545662
0.12,42,5.564872
0.24,42,5.586163
0.1,42,5.606713
0.19,42,5.62643
0.2,42,5.645293
0.07,42,5.664171
0.05,42,5.685555
0.11,42,5.705154
