#{"t_start": 1693261407.9881587, "env_id": "GridRoadEnv-v0"}
r,l,t
1.1,33,0.017599
0.43,33,0.033184
0.36,33,0.046022
1.06,33,0.059378
0.48,33,0.072927
1.04,33,0.085387
0.55,33,0.098403
1.26,33,0.113149
1.06,33,0.126862
1.05,33,0.140091
1.17,33,0.153451
1.09,33,0.166922
0.52,33,0.181451
0.45,33,0.19561
1.14,33,0.209191
0.36,33,0.223803
0.56,33,0.237847
0.5,33,0.251584
1.17,33,0.2648
0.62,33,0.277601
1.1,33,0.291512
1.12,33,0.308298
0.55,33,0.326501
0.44,33,0.343428
0.46,33,0.358731
0.31,33,0.374096
0.46,33,0.387459
0.56,33,0.400956
0.51,33,0.41385
0.45,33,0.426905
0.48,33,0.456967
0.34,33,0.470604
1.14,33,0.483905
1.17,33,0.497279
0.54,33,0.510376
1.07,33,0.522474
0.35,33,0.535786
1.67,33,0.549671
0.33,33,0.575431
0.47,33,0.592513
0.46,33,0.605583
0.4,33,0.618759
0.49,33,0.632356
0.58,33,0.645202
0.99,33,0.658541
0.4,33,0.671501
1.08,33,0.683655
0.37,33,0.696861
1.66,33,0.709785
0.97,33,0.722875
0.52,33,0.734771
0.54,33,0.748317
0.48,33,0.761373
0.38,33,0.774525
1.8,33,0.786723
0.53,33,0.799741
1.18,33,0.812834
0.5,33,0.825952
0.5,33,0.838844
1.01,33,0.851202
0.48,33,0.872062
0.36,33,0.884143
1.17,33,1.443635
1.11,33,1.457674
1.09,33,1.469471
0.44,33,1.48202
1.26,33,1.494658
0.48,33,1.507479
1.16,33,1.520447
0.41,33,1.53315
1.7,33,1.546078
0.46,33,1.565329
0.57,33,1.586837
0.54,33,1.601144
0.46,33,1.618116
0.38,33,1.634022
1.16,33,1.648656
1.09,33,1.660766
0.59,33,1.673494
1.1,33,1.686178
1.09,33,1.699034
0.48,33,1.711145
0.48,33,1.724159
1.2,33,1.737176
0.49,33,1.751429
1.25,33,1.76404
1.75,33,1.776958
0.59,33,1.789705
1.7,33,1.802786
0.49,33,1.815065
1.15,33,1.835436
0.48,33,1.847701
1.19,33,1.860275
1.17,33,1.873071
1.1,33,1.885912
0.44,33,1.897699
1.13,33,1.911412
0.59,33,1.923827
0.52,33,1.937155
0.42,33,1.949586
1.17,33,1.962837
0.52,33,1.975735
0.99,33,1.988479
0.51,33,2.001188
1.22,33,2.014171
1.81,33,2.027333
0.4,33,2.040528
0.55,33,2.053709
1.78,33,2.065593
0.54,33,2.078933
0.44,33,2.092049
1.15,33,2.105595
1.82,33,2.11788
0.55,33,2.131183
0.48,33,2.144574
1.07,33,2.157681
0.44,33,2.170068
0.58,33,2.183418
1.1,33,2.196617
1.06,33,2.209889
1.12,33,2.222323
1.74,33,2.243167
1.15,33,2.255902
1.26,33,2.268761
0.53,33,2.847709
1.11,33,2.861211
1.13,33,2.873262
1.16,33,2.886172
0.52,33,2.899593
1.0,33,2.913192
0.57,33,2.92685
1.2,33,2.938837
1.18,33,2.952192
0.49,33,2.963777
0.54,33,2.978152
1.13,33,2.991735
1.14,33,3.005276
0.39,33,3.017391
