#{"t_start": 1693258164.783699, "env_id": "GridRoadEnv-v0"}
r,l,t
0.52,33,0.027557
1.02,33,0.046517
0.76,33,0.064153
0.64,33,0.077818
1.27,33,0.095369
0.5,33,0.111658
0.61,33,0.126366
1.21,33,0.143821
0.63,33,0.156781
0.85,33,0.172966
0.56,33,0.1877
0.65,33,0.20255
0.65,33,0.216784
0.68,33,0.22965
0.64,33,0.242567
0.56,33,0.254502
0.49,33,0.268963
1.13,33,0.283369
1.11,33,0.297443
0.69,33,0.313081
1.36,33,0.325824
0.5,33,0.339844
1.0,33,0.352706
1.12,33,0.366519
0.44,33,0.38036
0.44,33,0.394106
1.13,33,0.410409
1.16,33,0.422857
1.31,33,0.436237
0.63,33,0.450854
0.69,33,0.50015
0.69,33,0.51803
1.28,33,0.534935
0.82,33,0.550585
0.51,33,0.568701
1.39,33,0.585127
0.65,33,0.601731
0.49,33,0.618587
0.82,33,0.634514
1.29,33,0.64854
0.63,33,0.662747
0.99,33,0.679555
0.56,33,0.695725
1.07,33,0.713115
0.69,33,0.728713
1.32,33,0.742869
0.37,33,0.760899
0.72,33,0.776129
0.37,33,0.792618
0.7,33,0.808071
0.44,33,0.821419
0.88,33,0.837076
1.08,33,0.85308
1.14,33,0.867201
0.99,33,0.882114
1.12,33,0.895633
1.42,33,0.910056
0.52,33,0.923402
0.24,33,0.937436
1.15,33,0.958183
0.49,33,0.991655
0.67,33,1.005202
0.79,33,1.97592
0.28,33,1.997727
0.46,33,2.014279
1.17,33,2.028985
0.71,33,2.045726
1.15,33,2.058745
0.46,33,2.07512
0.53,33,2.092385
0.53,33,2.112014
1.17,33,2.126136
0.68,33,2.143562
0.57,33,2.1573
0.4,33,2.172077
1.14,33,2.186025
1.32,33,2.200789
0.71,33,2.215906
0.63,33,2.23033
0.28,33,2.243704
1.26,33,2.256609
0.8,33,2.27085
0.72,33,2.284396
0.7,33,2.298208
1.12,33,2.312636
0.45,33,2.325085
0.67,33,2.341685
1.23,33,2.356709
1.2,33,2.37106
0.72,33,2.386074
0.66,33,2.40474
0.62,33,2.419221
1.31,33,2.434184
1.19,33,2.44931
0.86,33,2.467069
1.46,33,2.481959
1.12,33,2.494797
1.52,33,2.507674
0.68,33,2.520758
1.06,33,2.533838
1.09,33,2.546398
0.36,33,2.559281
1.15,33,2.575533
0.63,33,2.589871
1.08,33,2.604555
1.09,33,2.618273
0.35,33,2.631537
1.18,33,2.644789
0.5,33,2.656785
0.57,33,2.669748
1.04,33,2.682445
0.62,33,2.695482
0.72,33,2.708679
1.29,33,2.720539
1.2,33,2.734523
0.67,33,2.74814
0.52,33,2.760861
1.89,33,2.774443
0.66,33,2.786414
0.73,33,2.799618
0.76,33,2.813143
0.62,33,2.832986
0.65,33,2.845508
0.75,33,2.858197
0.43,33,3.738629
0.69,33,3.753796
1.9,33,3.770646
1.07,33,3.786139
1.24,33,3.800123
1.16,33,3.81357
1.31,33,3.82631
0.42,33,3.842026
1.3,33,3.855885
1.83,33,3.868859
0.53,33,3.881936
0.96,33,3.894829
1.18,33,3.911368
1.12,33,3.923985
1.06,33,3.939122
1.2,33,3.952916
0.44,33,3.973415
0.73,33,3.990525
0.54,33,4.004261
0.72,33,4.018199
1.09,33,4.031601
0.6,33,4.044035
0.75,33,4.056306
0.53,33,4.070962
0.62,33,4.085517
0.6,33,4.100521
0.85,33,4.11379
1.24,33,4.1344
0.96,33,4.147346
1.8,33,4.159313
1.1,33,4.174567
1.2,33,4.187814
1.38,33,4.201421
1.35,33,4.216066
1.79,33,4.228111
1.28,33,4.241083
1.17,33,4.253181
1.77,33,4.265769
1.89,33,4.278803
1.31,33,4.292384
1.19,33,4.307705
0.67,33,4.321651
1.22,33,4.336194
1.31,33,4.351224
0.68,33,4.364144
0.66,33,4.379591
1.17,33,4.392007
1.14,33,4.407244
1.18,33,4.42086
0.79,33,4.433746
1.21,33,4.446864
1.29,33,4.458924
1.19,33,4.471972
1.3,33,4.485163
1.15,33,4.498406
1.27,33,4.511811
1.06,33,4.523581
0.52,33,4.543983
0.86,33,4.556714
